Year	Chassis	Engine	Start	Finish	Team
2002	G-Force	Chevrolet	5	28	Nunn
2003	Dallara	Honda	2	3	Andretti Green
2004	Dallara	Honda	5	2	Andretti Green
2005	Dallara	Honda	1	8	Andretti Green
2006	Dallara	Honda	5	5	Andretti Green
2007	Dallara	Honda	2	12	Andretti Green
2008	Dallara	Honda	6	29	Andretti Green
2009	Dallara	Honda	6	27	Andretti Green
2010	Dallara	Honda	33*	11	Andretti Autosport
2011	Dallara	Honda	22	4	KV Racing Technology
2012	Dallara	Chevrolet	8	3	KV Racing Technology
2013	Dallara	Chevrolet	12	1	KV Racing Technology
