Place	Player	Country	Score	To par
T1	Raymond Floyd	United States	64	–7
T1	Steve Pate	United States	64	–7
T3	Gordon Brand, Jnr	Scotland	65	–6
T3	Ian Woosnam	Wales	65	–6
T5	John Cook	United States	66	–5
T5	Ernie Els	South Africa	66	–5
T5	Nick Faldo	England	66	–5
T5	Lee Janzen	United States	66	–5
T9	Per-Ulrik Johansson	Sweden	67	–4
T9	Andrew Magee	United States	67	–4
T9	Rocco Mediate	United States	67	–4
T9	Craig Parry	Australia	67	–4
T9	Costantino Rocca	Italy	67	–4
T9	Orrin Vincent III	United States	67	–4
