Rider	Manufacturer	Laps	Time/Retired	Grid
Jorge Lorenzo	Aprilia	25	39:25.727	1
Álvaro Bautista	Aprilia	25	+19.634	3
Andrea Dovizioso	Honda	25	+19.724	7
Hiroshi Aoyama	KTM	25	+19.797	6
Thomas Lüthi	Aprilia	25	+20.066	8
Julián Simón	Honda	25	+21.045	9
Marco Simoncelli	Gilera	25	+32.960	5
Shuhei Aoyama	Honda	25	+33.043	10
Alex de Angelis	Aprilia	25	+33.051	4
Yuki Takahashi	Honda	25	+44.814	12
Roberto Locatelli	Gilera	25	+48.733	13
Jules Cluzel	Honda	25	+54.010	15
Karel Abrahám	Aprilia	25	+1:03.218	21
Aleix Espargaró	Aprilia	25	+1:09.368	14
Dirk Heidolf	Aprilia	25	+1:17.807	17
Eugene Laverty	Honda	25	+1:21.239	24
Fabrizio Lai	Aprilia	25	+1:31.245	16
Taro Sekiguchi	Aprilia	25	+1:33.575	22
Ratthapark Wilairot	Honda	25	+1:33.916	23
Federico Sandi	Aprilia	24	+1 Lap	25
Alex Baldolini	Aprilia	18	Retirement	19
Imre Tóth	Aprilia	5	Retirement	18
Efrén Vázquez	Aprilia	3	Accident	20
Ho Wan Chow	Aprilia	1	Retirement	26
Mika Kallio	KTM	1	Accident	11
Héctor Barberá	Aprilia	0	Retirement	2
