Name (pinyin)	Name (Wade Giles)	Characters	Type	Construction
Fuxing	Fu-hsing	福星	wooden gunboat	1870, Foochow Navy Yard
Zhenwei	Chen-wei	振威	wooden gunboat	1872, Foochow Navy Yard
Fupo	Fu-p'o	伏波	scout-transport	1870, Foochow Navy Yard
Feiyun	Fei-yun	飛雲	scout-transport	1872, Foochow Navy Yard
Yangwu	Yang-wu	揚武	wooden corvette	1872, Foochow Navy Yard
Ji'an	Chi-an	濟安	scout-transport	1873, Foochow Navy Yard
Yongbao	Yung-pao	永保	scout-transport	1873, Foochow Navy Yard
Chenhang	Ch'en-hang	琛航	scout-transport	1874, Foochow Navy Yard
Jiansheng	Chien-sheng	建勝	Rendel flatiron gunboat	1875, Laird, Birkenhead
Fusheng	Fu-sheng	福勝	Rendel flatiron gunboat	1875, Laird, Birkenhead
Yixin	I-hsin	藝新	river patrol boat	1876, Foochow Navy Yard
Henghai	Heng-hai	橫海	composite sloop	1885, Foochow Navy Yard
Fujing	Fu-ching	福靖	steel torpedo boat	1893, Foochow Navy Yard
