Club	City or town	Position in 2012–13 season	First season in top division	Number of seasons in top division	First season of current spell in top division	Top division titles	Last top division title
Akhisar Belediyespor	Akhisar	021 14th	2012-13	2	2012-13	—	—
Medical Park Antalyaspor	Antalya	009 7th	1982-83	19	2008–09	—	—
Beşiktaş a, b	İstanbul	004 3rd	1959	56	1959	13	2008–09
Bursaspor	Bursa	001 4th	1967–68	45	2006–07	1	2009–10
Çaykur Rizespor	Rize	011 2nd in the TFF First League	1967-68	14	2013–14	—	—
Elazığspor	Elazığ	021 13th	2002-03	4	2012-13	—	—
Eskişehirspor	Eskişehir	007 8th	1966–67	28	2008–09	—	—
Fenerbahçe a, b	İstanbul	002 2nd	1959	56	1959	17	2006-07
Galatasaray a, b	İstanbul	003 1st	1959	56	1959	19	2012–13
Gaziantepspor	Gaziantep	013 10th	1978–79	28	1990–91	—	—
Gençlerbirliği a	Ankara	010 11th	1959	42	1989–90	—	—
Kardemir Demir Çelik Karabükspor	Karabük	019 15th	1993–94	7	2010–11	—	—
Kasımpaşa	İstanbul	022 6th	1959-60	10	2012-13	—	—
Kayseri Erciyesspor	Kayseri	006 1st in the TFF First League	2005–06	3	2013–14	—	—
Kayserispor	Kayseri	008 5th	1973–74	18	2004–05	—	—
Konyaspor	Konya	020 TFF First League playoff winner	1988-89	13	2013–14	—	—
Sivasspor b	Sivas	015 12th	2005–06	9	2005–06	—	—
Trabzonspor b	Trabzon	005 9th	1974–75	40	1974–75	7	2010-11
