District	Incumbent	Party	Elected	Status	Opponent
Texas1	Jim Chapman	Democratic	1985	Re-elected	Jim Chapman (D) 61.0% Hamp Hodges (R) 39.0%
Texas2	Charlie Wilson	Democratic	1972	Re-elected	Charlie Wilson (D) 55.6% Donna Peterson (R) 44.4%
Texas3	Steve Bartlett	Republican	1982	Re-elected	Steve Bartlett (R) 99.6% Noel Kopala (I-WI) 0.4%
Texas4	Ralph Hall	Democratic	1980	Re-elected	Ralph Hall (D) 99.6% Tim J. McCord (I-WI) 0.4%
Texas7	Bill Archer	Republican	1970	Re-elected	Bill Archer (R) unopposed
Texas8	Jack Fields	Republican	1980	Re-elected	Jack Fields (R) unopposed
Texas9	Jack Brooks	Democratic	1952	Re-elected	Jack Brooks (D) 57.7% Maury Meyers (R) 42.3%
Texas11	Marvin Leath	Democratic	1978	Retired Democratic hold	Chet Edwards (D) 53.5% Hugh Shine (R) 46.5%
Texas12	Pete Geren	Democratic	1989	Re-elected	Pete Geren (D) 71.3% Mike McGinn (R) 28.7%
Texas14	Greg Laughlin	Democratic	1988	Re-elected	Greg Laughlin (D) 54.3% Joe Dial (R) 45.7%
Texas15	Kika de la Garza	Democratic	1964	Re-elected	Kika de la Garza (D) unopposed
Texas17	Charles Stenholm	Democratic	1978	Re-elected	Charles Stenholm (D) unopposed
Texas18	Craig Anthony Washington	Democratic	1989	Re-elected	Craig Anthony Washington (D) 99.6%
Texas19	Larry Combest	Republican	1984	Re-elected	Larry Combest (R) unopposed
Texas20	Henry B. Gonzalez	Democratic	1960	Re-elected	Henry B. Gonzalez (D) unopposed
Texas22	Tom DeLay	Republican	1984	Re-elected	Tom DeLay (R) 71.2% Bruce Director (D) 28.8%
Texas24	Martin Frost	Democratic	1978	Re-elected	Martin Frost (D) unopposed
Texas25	Michael A. Andrews	Democratic	1982	Re-elected	Michael A. Andrews (D) unopposed
Texas26	Dick Armey	Republican	1984	Re-elected	Dick Armey (R) 70.4% John Wayne Caton (D) 29.6%
