Country	Region	FHFreepressreport	RWB Pressfreedomindex	Internetlists	ONIpoliticalfiltering	ONIsocialfiltering	ONIsecurityfiltering	ONItoolsfiltering
Afghanistan	Asia	74	37.36	—	ne	ne	ne	ne
Albania	Europe	51	30.88	—	—	—	—	—
Algeria	Africa	62	36.54	—	ne	ne	ne	ne
Andorra	Europe	13	6.82	—	—	—	—	—
Angola	Africa	67	37.8	—	—	—	—	—
Antigua and Barbuda	NAmerica	38	—	—	—	—	—	—
Argentina	SAmerica	50	25.67	—	—	—	—	—
Armenia	Eurasia	65	28.04	—	sub	sel	sel	sel
Australia	Oceania	21	15.24	u	ne	ne	ne	ne
Austria	Europe	21	9.4	—	—	—	—	—
Azerbaijan	Eurasia	80	47.73	r	sel	sel	ne	ne
Bahamas	NAmerica	20	—	—	—	—	—	—
Bahrain	Asia	84	62.75	e,se	per	per	sel	sub
Bangladesh	Asia	52	42.01	—	ne	ne	ne	ne
Barbados	NAmerica	19	—	—	—	—	—	—
Belarus	Europe	93	48.35	e	sel	sel	sel	sel
Belgium	Europe	11	12.94	—	—	—	—	—
Belize	NAmerica	21	—	—	—	—	—	—
Benin	Africa	34	28.33	—	—	—	—	—
Bhutan	Asia	58	28.42	—	—	—	—	—
Bolivia	SAmerica	47	32.8	—	—	—	—	—
Bosnia and Herzegovina	Europe	48	26.86	—	—	—	—	—
Botswana	Africa	40	22.91	—	—	—	—	—
Brazil	SAmerica	44	32.75	—	—	—	—	—
Brunei	Asia	75	35.45	—	—	—	—	—
Bulgaria	Europe	36	28.58	—	—	—	—	—
Burkina Faso	Africa	42	23.7	—	—	—	—	—
Burma	Asia	85	44.71	e	sel	sub	ne	sel
Burundi	Africa	72	38.02	—	—	—	—	—
Cambodia	Asia	63	41.81	—	—	—	—	—
Cameroon	Africa	68	34.78	—	—	—	—	—
Canada	NAmerica	19	12.69	—	ne	ne	ne	ne
Cape Verde	Africa	27	14.33	—	—	—	—	—
Central African Republic	Africa	62	26.61	—	—	—	—	—
Chad	Africa	75	34.87	—	—	—	—	—
Chile	SAmerica	31	26.24	—	—	—	—	—
China	Asia	85	73.07	e,se	per	sub	per	sub
Colombia	SAmerica	55	37.48	—	ne	ne	ne	ne
Comoros	Africa	48	24.52	—	—	—	—	—
Congo, Democratic Republic of the	Africa	83	41.66	—	—	—	—	—
Congo, Republic of the	Africa	55	28.2	—	—	—	—	—
Costa Rica	NAmerica	19	12.08	—	—	—	—	—
Côte d'Ivoire	Africa	70	29.77	—	—	—	—	—
Croatia	Europe	40	26.61	—	ne	ne	ne	ne
Cuba	NAmerica	91	71.64	e	nd	nd	nd	nd
Cyprus	Europe	22	13.83	—	—	—	—	—
