Race	Circuit	Date	Pole position	Fastest lap	Winning driver	Constructor	Tyre	Report
Argentine Grand Prix	Buenos Aires	7 February	Stirling Moss	Stirling Moss	Bruce McLaren	Cooper - Climax	D	Report
Monaco Grand Prix	Monaco	29 May	Stirling Moss	Bruce McLaren	Stirling Moss	Lotus - Climax	D	Report
Indianapolis 500	Indianapolis	30 May	Eddie Sachs	Jim Rathmann	Jim Rathmann	Watson - Offenhauser	F	Report
Dutch Grand Prix	Zandvoort	6 June	Stirling Moss	Stirling Moss	Jack Brabham	Cooper - Climax	D	Report
Belgian Grand Prix	Spa-Francorchamps	19 June	Jack Brabham	Jack Brabham Innes Ireland Phil Hill	Jack Brabham	Cooper - Climax	D	Report
French Grand Prix	Reims	3 July	Jack Brabham	Jack Brabham	Jack Brabham	Cooper - Climax	D	Report
British Grand Prix	Silverstone	16 July	Jack Brabham	Graham Hill	Jack Brabham	Cooper - Climax	D	Report
Portuguese Grand Prix	Boavista	14 August	John Surtees	John Surtees	Jack Brabham	Cooper - Climax	D	Report
Italian Grand Prix	Monza	4 September	Phil Hill	Phil Hill	Phil Hill	Ferrari	D	Report
United States Grand Prix	Riverside	20 November	Stirling Moss	Jack Brabham	Stirling Moss	Lotus - Climax	D	Report
