Rank	Stadium	Capacity	City	Country
1	Monumental "U"	80,093	Lima	Peru
2	Maracanã	78,838	Rio de Janeiro	Brazil
3	Castelão	75,263	São Luís	Brazil
4	Mineirão	69,950	Belo Horizonte	Brazil
5	Monumental Antonio V. Liberti	67,664	Buenos Aires	Argentina
6	Universidad San Marcos	67,469	Lima	Peru
7	Morumbi	67,428	São Paulo	Brazil
8	Castelão	66,700	Fortaleza	Brazil
9	Centenario	65,235	Montevideo	Uruguay
10	Arena do Grêmio	60,170	Porto Alegre	Brazil
11	Arruda	60,044	Recife	Brazil
12	Nacional	60,000[ citation needed ]	Lima	Peru
13	Monumental Banco Pichincha	59,230	Guayaquil	Ecuador
14	Mario Alberto Kempes	57,000	Córdoba	Argentina
15	Bahia Arena	55,000	Salvador	Brazil
16	Deportivo Cali	53,347	Cali	Colombia
17	Monumental de Maturín	52,000	Maturín	Venezuela
18	Presidente Juan Domingo Perón	51,389	Buenos Aires	Argentina
19	Beira-Rio	51,300	Porto Alegre	Brazil
20	Serra Dourada	50,049	Goiânia	Brazil
21	Ciudad de La Plata	50,000	La Plata	Argentina
22	Parque do Sabiá	50,000	Uberlândia	Brazil
23	José Amalfitani	49,747	Buenos Aires	Argentina
24	Metropolitano	49,612	Barranquilla	Colombia
25	Alberto J. Armando	49,000	Buenos Aires	Argentina
26	Tomás Adolfo Ducó	48,314	Buenos Aires	Argentina
27	Nacional de Chile	47,000	Santiago	Chile
28	Ciudad de Lanús	46,519	Lanús	Argentina
29	Mangueirão	45,007	Belém	Brazil
30	Monumental David Arellano	45,000	Santiago	Chile
31	Olímpico Monumental	45,000	Porto Alegre	Brazil
32	Morenão	45,000	Campo Grande	Brazil
33	Farahzão	44,414	Presidente Prudente	Brazil
34	Albertão	44,200	Teresina	Brazil
35	Engenhão	44,000	Rio de Janeiro	Brazil
36	Libertadores de América	44,000	Buenos Aires	Argentina
37	José María Minella	43,542	Mar del Plata	Argentina
38	Metropolitano de Mérida	42,500	Mérida	Venezuela
39	General Santander	42,500	Cúcuta	Colombia
40	Mané Garrincha	42,200	Brasília	Brazil
41	Garcilaso de la Vega	42,056	Cusco	Peru
42	Atanasio Girardot	42,000	Medellín	Colombia
43	Hernando Siles	42,000	La Paz	Bolivia
44	Modelo Alberto Spencer Herrera	42,000	Guayaquil	Ecuador
45	Pedro Bidegain	42,000	Buenos Aires	Argentina
46	Gigante de Arroyito	41,654	Rosario	Argentina
47	Polideportivo Cachamay	41,600	Ciudad Guayana	Venezuela
48	Olímpico Atahualpa	41,000	Quito	Ecuador
49	Metropolitano de Fútbol de Lara	40,312	Barquisimeto	Venezuela
50	Monumental Virgen de Chapi	40,217	Arequipa	Peru
51	Verdão	40,000	Cuiabá	Brazil
52	Almeidão	40,000	João Pessoa	Brazil
53	Polideportivo de Pueblo Nuevo	38,755	San Cristóbal	Venezuela
54	Marcelo Bielsa	38,095	Rosario	Argentina
55	Olímpico Pascual Guerrero	38,000	Santiago de Cali	Colombia
56	Couto Pereira	38,000	Curitiba	Brazil
57	Ramón Tahuichi Aguilera	38,000	Santa Cruz de la Sierra	Bolivia
58	Pacaembu	37,952	São Paulo	Brazil
59	Estadio José Antonio Anzoátegui	37,485	Puerto la Cruz	Venezuela
60	Palogrande	36,553	Manizales	Colombia
61	El Campín	36,343	Bogotá	Colombia
62	Defensores del Chaco	36,000	Asunción	Paraguay
63	Barradão	35,632	Salvador	Brazil
64	Alejandro Villanueva	35,000	Lima	Peru
65	Amigão	35,000	Campina Grande	Brazil
66	Pinheirão	35,000	Curitiba	Brazil
67	Malvinas Argentinas	34,875	Mendoza	Argentina
68	Don León Kolbowsky	34,000	Buenos Aires	Argentina
69	Eduardo Gallardón	33,542	Lomas de Zamora	Argentina
70	Juan Carmelo Zerillo	33,500	La Plata	Argentina
71	Florencio Sola	33,351	Banfield	Argentina
72	Centenario José Luis Meiszner	33,000	Quilmes	Argentina
73	JK	33,000	Itumbiara	Brazil
74	Teixeirão	32,936	São José do Rio Preto	Brazil
75	General Pablo Rojas	32,910	Asunción	Paraguay
76	Monumental José Fierro	32,700	San Miguel de Tucumán	Argentina
77	Nueva España	32,500	Buenos Aires	Argentina
78	Brinco de Ouro	32,453	Campinas	Brazil
79	Brigadier Gral. Estanislao López	32,000	Santa Fe	Argentina
80	Félix Capriles	32,000	Cochabamba	Bolivia
81	Olímpico Patria	32,000	Sucre	Bolivia
82	Pituaçu	31,667	Salvador	Brazil
83	Café	31,019	Londrina	Brazil
84	Vivaldão	31,000	Manaus	Brazil
85	Ciudad de Vicente López	31,000	Vicente López	Argentina
86	Centenário	30,822	Caxias do Sul	Brazil
87	Ilha do Retiro	30,520	Recife	Brazil
88	Hernán Ramírez Villegas	30,313	Pereira	Colombia
89	Coliseo de Victoria	30,000	Victoria	Argentina
90	Colosso da Lagoa	30,000	Erechim	Brazil
91	Manuel Murillo Toro	30,000	Ibagué	Colombia
92	Presidente Perón	30,000	Córdoba	Argentina
93	Machadão	30,000	Natal	Brazil
94	Serejão	30,000	Taguatinga	Brazil
95	Víctor Agustín Ugarte	30,000	Potosí	Bolivia
