Outcome	Date	Tournament	Surface	Partner	Opponents	Score
Winner	28 September 1987	Paris	Clay	Isabelle Demongeot	Sandra Cecchini Sabrina Goleš	1–6, 6–3, 6–3
Winner	9 May 1988	Berlin	Clay	Isabelle Demongeot	Claudia Kohde-Kilsch Helena Suková	6–2, 4–6, 6–4
Runner-up	11 July 1988	Nice	Clay	Isabelle Demongeot	Catherine Suire Catherine Tanvier	4–6, 6–4, 2–6
Winner	17 October 1988	Zürich	Carpet (I)	Isabelle Demongeot	Claudia Kohde-Kilsch Helena Suková	6–3, 6–3
Runner-up	24 October 1988	Brighton	Carpet (I)	Isabelle Demongeot	Lori McNeil Betsy Nagelsen	6–7(5), 6–2, 6–7(4)
Winner	1 May 1989	Hamburg	Clay	Isabelle Demongeot	Jana Novotná Helena Suková	w/o
Runner-up	16 October 1989	Zürich	Carpet (I)	Judith Wiesner	Jana Novotná Helena Suková	3–6, 6–3, 4–6
Runner-up	12 February 1990	Chicago	Carpet (I)	Arantxa Sánchez Vicario	Martina Navratilova Anne Smith	7–6(9), 4–6, 3–6
Winner	22 October 1990	Brighton	Carpet (I)	Helena Suková	Jo Durie Natasha Zvereva	6–1, 6–4
Runner-up	22 April 1991	Barcelona	Clay	Judith Wiesner	Martina Navratilova Arantxa Sánchez Vicario	1–6, 3–6
Runner-up	29 July 1991	San Diego	Hard	Gigi Fernández	Jill Hetherington Kathy Rinaldi	4–6, 6–3, 2–6
Winner	23 September 1991	Bayonne	Carpet (I)	Patricia Tarabini	Rachel McQuillan Catherine Tanvier	6–3 ret.
Runner-up	20 April 1992	Barcelona	Clay	Judith Wiesner	Conchita Martínez Arantxa Sánchez Vicario	4–6, 1–6
Winner	11 January 1993	Melbourne	Hard	Nicole Provis	Cammy MacGregor Shaun Stafford	1–6, 6–3, 6–3
Runner-up	1 November 1993	Quebec City	Hard (I)	Katerina Maleeva	Katrina Adams Manon Bollegraf	4–6, 4–6
Runner-up	18 April 1994	Barcelona	Clay	Julie Halard	Larisa Neiland Arantxa Sánchez Vicario	2–6, 4–6
Winner	8 August 1994	Los Angeles	Hard	Julie Halard	Jana Novotná Lisa Raymond	6–1, 0–6, 6–1
Winner	31 October 1994	Quebec City	Carpet (I)	Elna Reinach	Chanda Rubin Linda Wild	6–4, 6–3
Winner	20 February 1995	Linz	Carpet (I)	Meredith McGrath	Iva Majoli Petra Schwarz	6–1, 6–2
Runner-up	12 February 1996	Paris	Carpet (I)	Julie Halard-Decugis	Kristie Boogert Jana Novotná	4–6, 3–6
Runner-up	8 March 1996	Indian Wells	Hard	Julie Halard-Decugis	Chanda Rubin Brenda Schultz-McCarthy	1–6, 4–6
Runner-up	10 June 1996	Birmingham	Grass	Lori McNeil	Elizabeth Smylie Linda Wild	3–6, 6–3, 1–6
Winner	30 September 1996	Leipzig	Carpet (I)	Kristie Boogert	Sabine Appelmans Miriam Oremans	6–4, 6–4
Winner	21 October 1996	Luxembourg	Carpet (I)	Kristie Boogert	Barbara Rittner Dominique Van Roost	2–6, 6–4, 6–2
Runner-up	4 November 1996	Oakland	Carpet (I)	Irina Spîrlea	Lindsay Davenport Mary Joe Fernández	1–6, 3–6
Winner	3 February 1997	Linz	Carpet (I)	Alexandra Fusai	Eva Melicharová Helena Vildová	4–6, 6–3, 6–1
Runner-up	7 March 1997	Indian Wells	Hard	Lisa Raymond	Lindsay Davenport Natasha Zvereva	3–6, 2–6
Runner-up	9 June 1997	Birmingham	Grass	Linda Wild	Katrina Adams Larisa Neiland	2–6, 3–6
Runner-up	18 August 1997	Atlanta	Hard	Alexandra Fusai	Nicole Arendt Manon Bollegraf	7–6(5), 3–6, 2–6
Runner-up	20 October 1997	Quebec City	Hard (I)	Alexandra Fusai	Lisa Raymond Rennae Stubbs	4–6, 7–5, 5–7
Winner	3 November 1997	Chicago	Carpet (I)	Alexandra Fusai	Lindsay Davenport Monica Seles	6–3, 6–2
