Stage	Winner	General classification	Points classification	Trofeo Fast Team
1	Gianni Bugno	Gianni Bugno	Gianni Bugno	Diana-Colnago-Animex
2	Giovanni Fidanza	Gianni Bugno	Giovanni Fidanza	Castorama
3	Eduardo Chozas	Gianni Bugno	Gianni Bugno	Castorama
4a	Stefano Allocchio	Gianni Bugno	Giovanni Fidanza	Castorama
4b	Phil Anderson	Gianni Bugno	Giovanni Fidanza	Castorama
5	Fabrizio Convalle	Gianni Bugno	Giovanni Fidanza	Carrera Jeans-Vagabond
6	Luca Gelfi	Gianni Bugno	Giovanni Fidanza	Carrera Jeans-Vagabond
7	Gianni Bugno	Gianni Bugno	Gianni Bugno	Carrera Jeans-Vagabond
8	Stefano Allocchio	Gianni Bugno	Giovanni Fidanza	Carrera Jeans-Vagabond
9	Vladimir Poulnikov	Gianni Bugno	Giovanni Fidanza	Carrera Jeans-Vagabond
10	Luca Gelfi	Gianni Bugno	Gianni Bugno	Diana-Colnago-Animex
11	Adriano Baffi	Gianni Bugno	Phil Anderson	Diana-Colnago-Animex
12	Éric Boyer	Gianni Bugno	Phil Anderson	Carrera Jeans-Vagabond
13	Mario Cipollini	Gianni Bugno	Phil Anderson	Carrera Jeans-Vagabond
14	Alan Peiper	Gianni Bugno	Phil Anderson	Carrera Jeans-Vagabond
15	Éric Boyer	Gianni Bugno	Phil Anderson	Carrera Jeans-Vagabond
16	Charly Mottet	Gianni Bugno	Phil Anderson	ONCE
17	Leonardo Sierra	Gianni Bugno	Gianni Bugno	ONCE
18	Adriano Baffi	Gianni Bugno	Phil Anderson	ONCE
19	Gianni Bugno	Gianni Bugno	Gianni Bugno	ONCE
20	Mario Cipollini	Gianni Bugno	Gianni Bugno	ONCE
Final	Final	Gianni Bugno	Gianni Bugno	ONCE
