#	Episode	Air Date	Timeslot (EST)	Season	Rating	Share	18–49	Viewers (m)	Rank (#)
1	" Last Days Of Summer "	October 5, 2007	Fri. 9:00PM	2007–2008	4.2	7	2.1	6.48	#68
2	" Bad Ideas "	October 12, 2007	Fri. 9:00PM	2007–2008	3.6	6	1.7	5.42	#75
3	" Are You Ready for Friday Night? "	October 19, 2007	Fri. 9:00PM	2007–2008	3.7	7	1.9	5.48	#75
4	" Backfire "	October 26, 2007	Fri. 9:00PM	2007–2008	3.9	7	2.0	5.88	#76
5	" Let's Get It On "	November 2, 2007	Fri. 9:00PM	2007–2008	3.6	6	1.8	5.45	n/a
6	" How Did I Get Here "	November 9, 2007	Fri. 9:00PM	2007–2008	3.7	6	1.9	5.60	#77
7	" Pantherama "	November 16, 2007	Fri. 9:00PM	2007–2008	3.9	7	2.1	5.96	#72
8	" Seeing Other People "	November 30, 2007	Fri. 9:00PM	2007–2008	3.8	7	1.7	5.66	#75
9	" The Confession "	December 7, 2007	Fri. 9:00PM	2007–2008	3.6	6	1.8	5.44	#72
10	" There Goes The Neighborhood "	January 4, 2008	Fri. 9:00PM	2007–2008	3.2	6	1.8	5.53	#59
11	" Jumping The Gun "	January 11, 2008	Fri. 9:00PM	2007–2008	3.7	6	1.9	5.76	#61
12	" Who Do You Think You Are? "	January 18, 2008	Fri. 9:00PM	2007–2008	3.5	6	1.8	5.36	#57
13	" Humble Pie "	January 25, 2008	Fri. 9:00PM	2007–2008	3.5	6	2.0	5.34	n/a
14	" Leave No One Behind "	February 1, 2008	Fri. 9:00PM	2007–2008	3.7	6	1.9	5.64	#48
