No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (million)
14	1	" Chuck Versus the First Date "	Jason Ensler	Josh Schwartz & Chris Fedak	September29,2008	3T7251	6.84
15	2	" Chuck Versus the Seduction "	Allan Kroeker	Matthew Miller	October6,2008	3T7252	5.83
16	3	" Chuck Versus the Break-Up "	Robert Duncan McNeill	Scott Rosenbaum	October13,2008	3T7253	6.17
17	4	" Chuck Versus the Cougars "	Patrick Norris	Allison Adler	October20,2008	3T7254	6.87
18	5	" Chuck Versus Tom Sawyer "	Norman Buckley	Phil Klemmer	October27,2008	3T7255	6.70
19	6	" Chuck Versus the Ex "	Jay Chandrasekhar	Zev Borow	November10,2008	3T7256	6.34
20	7	" Chuck Versus the Fat Lady "	Jeffrey G. Hunt	Matthew Lau	November17,2008	3T7257	6.89
21	8	" Chuck Versus the Gravitron "	Allison Liddi-Brown	Chris Fedak	November24,2008	3T7258	6.53
22	9	" Chuck Versus the Sensei "	Jonas Pate	Anne Cofell Saunders	December1,2008	3T7259	7.34
23	10	" Chuck Versus the DeLorean "	Ken Whittingham	Matthew Miller	December8,2008	3T7260	6.94
24	11	" Chuck Versus Santa Claus "	Robert Duncan McNeill	Scott Rosenbaum	December15,2008	3T7261	7.66
25	12	" Chuck Versus the Third Dimension "	Robert Duncan McNeill	Chris Fedak	February2,2009	3T7263	8.45
26	13	" Chuck Versus the Suburbs "	Jay Chandrasekhar	Phil Klemmer	February16,2009	3T7264	6.84
27	14	" Chuck Versus the Best Friend "	Peter Lauer	Allison Adler	February23,2009	3T7262	6.59
28	15	" Chuck Versus the Beefcake "	Patrick Norris	Matthew Miller & Scott Rosenbaum	March2,2009	3T7265	6.66
29	16	" Chuck Versus the Lethal Weapon "	Allan Kroeker	Zev Borow & Matthew Lau	March9,2009	3T7266	5.80
30	17	" Chuck Versus the Predator "	Jeremiah Chechik	Chris Fedak	March23,2009	3T7267	6.16
31	18	" Chuck Versus the Broken Heart "	Kevin Bray	Allison Adler	March30,2009	3T7268	5.72
32	19	" Chuck Versus the Dream Job "	Robert Duncan McNeill	Phil Klemmer & Cory Nickerson	April6,2009	3T7269	6.10
33	20	" Chuck Versus the First Kill "	Norman Buckley	Scott Rosenbaum	April13,2009	3T7270	6.21
34	21	" Chuck Versus the Colonel "	Peter Lauer	Matthew Miller	April20,2009	3T7271	6.11
