Rank	Name	Height ft / m	Floors	Year
1	Albuquerque Plaza Office Tower	351 / 107	22	1990
2	Hyatt Regency Albuquerque	256 / 78	21	1990
3	Compass Bank Building	238 / 73	18	1966
4	Albuquerque Petroleum Building	235 / 72	15	1986
5	Bank of the West Tower	213 / 65	17	1963
6	Gold Building	203 / 62	14	1961
7	Dennis Chavez Federal Building	197 / 60	13	1965
8	PNM Building	184 / 56	12	1974
9	Simms Building	180 / 55	13	1954
10	Pete V. Domenici United States Courthouse	176 / 54	7	1997
11	Metropolitan Courthouse	175 / 53	9	2003
12	Wells Fargo Bank Building	174 / 53	13	1973
13=	Doubletree Hotel	166 / 51	16	1975
13=	Albuquerque Regional Medical Center	166 / 51	11	1969
15	Park Plaza Condominiums	160 / 49	14	1965
16	One Civic Plaza	158 / 48	11	1985
17	Albuquerque Marriott	156 / 48	17	1982
18	Bernalillo County Courthouse	154 / 47	8	2001
19	City Place	150 / 46	10	1980
20	Wyndham Albuquerque Hotel	147 / 45	14	1972
21=	Two Park Square	145 / 44	10	1989
21=	Ameriwest Financial Center	145 / 44	10	1985
23	The Bank Lofts	141 / 43	9	1922
24=	Two Park Central Tower	140 / 43	10	1975
24=	Veterans Administration Medical Center	140 / 43	6	1986
26	Hotel Andaluz	135 / 41	10	1939
