Place	Player	Country	Score	To par
1	Bob Rosburg	United States	68	–2
2	Peter Thomson	Australia	70	E
T3	Errie Ball	Wales	71	+1
T3	Julius Boros	United States	71	+1
T3	Wes Ellis	United States	71	+1
T3	Doug Ford	United States	71	+1
T3	Ed Furgol	United States	71	+1
T3	Jay Hebert	United States	71	+1
T3	Cary Middlecoff	United States	71	+1
T10	Jerry Barber	United States	72	+2
T10	Al Brosch	United States	72	+2
T10	Dave Douglas	United States	72	+2
T10	Fred Haas	United States	72	+2
T10	E. J. Harrison	United States	72	+2
T10	Ben Hogan	United States	72	+2
T10	Bill Hyndman (a)	United States	72	+2
T10	Ted Kroll	United States	72	+2
T10	Billy Maxwell	United States	72	+2
T10	Arnold Palmer	United States	72	+2
T10	Frank Taylor, Jr. (a)	United States	72	+2
