Date	Visitor	Score	Home	Decision	Attendance	Record
December 1	Boston	1 – 4	Tampa Bay	Holmqvist	18,444	11–13–2
December 4	Ottawa	3 – 4	Tampa Bay	Holmqvist	17,540	12–13–2
December 6	Carolina	1 – 2	Tampa Bay	Holmqvist	16,674	13–13–2
December 8	NY Islanders	3 – 2	Tampa Bay	Holmqvist	18,319	13–13–3
December 10	Tampa Bay	1 – 6	Toronto	Holmqvist	19,454	13–14–3
December 11	Tampa Bay	3 – 2	Montreal	Denis	21,273	14–14–3
December 13	Calgary	9 – 6	Tampa Bay	Denis	19,026	14–15–3
December 15	Washington	3 – 2	Tampa Bay	Holmqvist	18,367	14–16–3
December 18	Tampa Bay	2 – 6	Atlanta	Holmqvist	14,060	14–17–3
December 20	Toronto	1 – 2	Tampa Bay	Ramo	19,131	15–17–3
December 22	Carolina	4 – 1	Tampa Bay	Ramo	18,765	15–18–3
December 26	Tampa Bay	2 – 3	Washington	Ramo	15,035	15–19–3
December 27	Montreal	5 – 2	Tampa Bay	Holmqvist	20,294	15–20–3
December 29	Philadelphia	4 – 2	Tampa Bay	Ramo	20,124	15–21–3
