Name	Built	Listed	Location	County
Adamson Bridge	1916	1992-06-29	Valentine	Cherry
Ashland Bridge (Ashland, Nebraska)	1936	1992-06-29	Ashland	Saunders
Beal Slough Bridge	1937	1992-06-29	Lincoln	Lancaster
Bell Bridge	1903	1992-06-29	Valentine	Cherry
Berry State Aid Bridge	1920, 1921	1992-06-29	Valentine	Cherry
Big Blue River Bridge (Surprise, Nebraska)	1897, 1898	1992-06-29	Surprise	Butler
Big Blue River Bridge (Grafton, Nebraska)	1918	1992-06-29	Grafton	Fillmore
Big Indian Creek Bridge	1903	1992-06-29	Wymore	Gage
Big Papillion Creek Bridge	ca.1940	1992-06-29	La Vista	Sarpy
Bloody Run Bridge	1898	1992-06-29	Virginia	Gage
Borman Bridge	1916	1992-06-29	Valentine	Cherry
Brewer Bridge	1899, 1921	1992-06-29	Valentine	Cherry
Bridge	1912	1992-06-29	Nebraska City	Otoe
Bridge	1876	1992-06-29	Lorton	Otoe
Bridge	1911	1992-06-29	Royal	Antelope
Bridge	ca.1900	1992-06-29	Louisville	Cass
Bridge	1898	1992-06-29	Wymore	Gage
Bridge	1908	1992-06-29	Stratton	Hitchcock
Brownson Viaduct	1942	1992-06-29	Brownson	Cheyenne
Brownville Bridge	1939	1993-06-17	Brownville	Nemaha
Bryan Bridge	1932	1988-06-23	Valentine	Cherry
Burwell Bridge	1940, 1941	1992-06-29	Burwell	Garfield
Cambridge State Aid Bridge	1914	1992-06-29	Cambridge	Furnas
Camp Clarke Bridge Site	1875, 1880	1974-11-08	Bridgeport	Morrill
Carns State Aid Bridge	1912, 1913	1992-06-29	Bassett	Rock
Cincinnati Bridge	1879, 1880	1992-06-29	Du Bois	Pawnee
Clear Creek Bridge	1891, 1928	1992-06-29	Bellwood	Butler
Colclesser Bridge	1888, 1933, 1934	1992-06-29	Rushville	Sheridan
Columbus Loup River Bridge	1932, 1933	1992-06-29	Columbus	Platte
Deering Bridge	1916	1992-06-29	Sutton	Clay Fillmore
DeWitt Flour Mills and King Iron Bridge	ca.1888, 1911, 1920	1978-12-27	DeWitt	Gage
Elkhorn River Bridge	1883, 1929	1992-06-29	Clearwater	Antelope
Franklin Bridge	1932, 1935	1992-06-29	Franklin	Franklin
Gross State Aid Bridge	1918	1992-06-29	Verdigre	Knox
Henry State Aid Bridges	1919	1992-06-29	Henry	Scotts Bluff
Hoyt Street Bridge	ca.1870, 1890	1992-06-29	Beatrice	Gage
Interstate Canal Bridge	ca.1915	1992-06-29	Scottsbluff	Scotts Bluff
Keim Stone Arch Bridge	1916	1992-06-29	Tecumseh	Johnson
Kilgore Bridge	1915	1992-06-29	Kearney	Buffalo
Lewellen State Aid Bridge	1926, 1927	1992-06-29	Lewellen	Garden
Lewis Bridge	1922	1992-06-29	Springview	Keya Paha
Lisco State Aid Bridge	1927, 1928	1992-06-29	Lisco	Garden
Little Nemaha River Bridge (Dunbar, Nebraska)	1874	1992-06-29	Dunbar	Otoe
Loosveldt Bridge	1888, 1933, 1934	1992-06-29	Rushville	Sheridan
Main Street Bridge	1915, 1920	1992-06-29	Elkhorn	Douglas
Meridian Bridge	1924	1993-06-17	South Yankton	Cedar
Mission Creek Bridge	1898	1992-06-29	Barneston	Gage
Neligh Mill Bridge	1910	1992-06-29	Neligh	Antelope
Nine Bridges Bridge	1913	1992-06-29	Doniphan	Hall
Niobrara River Bridge	1929	1992-11-12	Niobrara	Knox
North Loup Bridge	1912	1992-06-29	North Loup	Valley
North Omaha Creek Bridge	ca.1905	1992-06-29	Winnebago	Thurston
Olive Branch Bridge	1897	1992-06-29	Sprague	Lancaster
Plattsmouth Bridge	1929	1993-04-15	Plattsmouth	Cass
Ponca Creek Bridge	1904	1992-06-29	Lynch	Boyd
Prairie Dog Creek Bridge	1913	1992-06-29	Orleans	Harlan
Rattlesnake Creek Bridge	1903	1992-06-29	Bancroft	Cuming
Red Cloud Bridge	1935	1992-06-29	Red Cloud	Webster
Republican River Bridge	1911	1992-06-29	Riverton	Franklin
Roscoe State Aid Bridge	1934, 1935	1992-06-29	Roscoe	Keith
Rulo Bridge	1938, 1939	1993-01-04	Rulo	Richardson
Saddle Creek Underpass	1934	1992-06-29	Omaha	Douglas
Sappa Creek Bridge	1916	1992-06-29	Stamford	Harlan
Sargent Bridge	1908	1992-06-29	Sargent	Custer
South Omaha Bridge	1933–1935	1992-06-29	Omaha	Douglas
Stewart Bridge	1915	1992-06-29	Oak	Nuckolls
Sutherland State Aid Bridge	1914, 1915	1992-06-29	Sutherland	Lincoln
Sweetwater Mill Bridge	1909	1992-06-29	Sweetwater	Buffalo
Tekamah City Bridge	1934	1992-06-29	Tekamah	Burt
Turkey Creek Bridge	1899	1992-06-29	Ragan	Harlan
Twin Bridge (Brownlee, Nebraska)	1900	1992-06-29	Brownlee	Cherry
Verdigris Creek Bridge	ca.1918	1992-06-29	Royal	Antelope
Willow Creek Bridge	1913	1992-06-29	Foster	Pierce
Wolf Creek Bridge	1889	1992-06-29	Dunbar	Otoe
Wyoming Bridge	1878	1992-06-29	Dunbar	Otoe
York Subway	1938, 1939	1992-06-29	York	York
Little Nemaha River Bridge (Syracuse, Nebraska)	1901	1992-06-29 removed 2012-12-19	Syracuse	Otoe
