Pick #	MLS Team	Player	Position	Affiliation
21	MetroStars	Zach Wells	GK	UCLA
22	Los Angeles Galaxy	Memo Arzate	M	UC Santa Barbara
23	New England Revolution	Jeremiah White	F	Wake Forest University
24	D.C. United	Kevin Ara	M	Harvard University
25	Colorado Rapids	Kevin Taylor	D	University of Michigan
26	MetroStars	Olivier Occean	F	Southern Connecticut State University
27	San Jose Earthquakes	Mike Wilson	M	Stanford University
28	Chicago Fire	Khari Stephenson	M	Williams College
29	Dallas Burn	Ty Maurin	M	UCLA
30	San Jose Earthquakes	Lindon Pecorelli	M	University of Connecticut
