No. in series	No. in season	Title	Directed by	Written by	Original air date
42	1	"Truth and Consequences (Part 1)"	Grant Brown	Louise Crane-Bowes	9February1999
43	2	"Truth and Consequences (Part 2)"	Robert Klenner	Louise Crane-Bowes	9February1999
44	3	"Aftershocks"	Peter Fisk	Sally Webb	16February1999
45	4	"The Longest Day"	Scott Feeney	Christina Milligan	23February1999
46	5	"If These Walls Could Talk"	Grant Brown	Cathy Strickland & Andy Ryan	3March1999
47	6	"Getting to Know You"	Robert Klenner	Anthony Ellis-Morris	9March1999
48	7	"Dependence Day"	Peter Fisk	Andy Ryan & Shane Porteous	16March1999
49	8	"Bloodlines"	Geoff Cawthorn	Annette Moore	23March1999
50	9	"More Things in Heaven and Earth"	Malcolm McDonald	Bevan Lee	30March1999
51	10	"Pushed to the Limit"	Robert Klenner	Margaret Wilson	6April1999
52	11	"Friends and Lovers"	Peter Fisk	Louise Crane-Bowes	13April1999
53	12	"Judgement Day"	Peter Fisk	Charlie Strachan	20April1999
54	13	"Roll the Dice"	Catherine Roden	Michaeley O'Brien	27April1999
55	14	"My Mother, Myself"	Robert Klenner	Anthony Ellis	4May1999
56	15	"Get a Life"	Peter Fisk	Christina Milligan	11May1999
57	16	"An Irish Lullaby"	Geoff Cawthorn	Lesley and Jenny Lewis	18May1999
58	17	"Head to Head"	Catherine Roden	Kristen Dunphy	25May1999
59	18	"Desperate Remedies"	Robert Klenner	Anthony Ellis & Alexa Wyatt	1June1999
60	19	"The Human Touch"	Peter Fisk	Louise Crane-Bowes	8June1999
61	20	"Disaster Plan"	Geoff Cawthorn	Margaret Wilson	15June1999
62	21	"Forget-Me-Nots"	Catherine Roden	Charlie Strachan	22June1999
63	22	"Shoot the Messenger"	Robert Klenner	Grace Morris	29June1999
64	23	"In With the New"	Peter Fisk	Annette Moore & Sally Webb	6July1999
65	24	"Second Chance"	Geoff Cawthorn	Bevan Lee	13July1999
66	25	"Endgame"	Catherine Roden	Christina Milligan	20July1999
67	26	"Behind Closed Curtains"	Robert Klenner	David Phillips	27July1999
68	27	"Lesser of Two Evils"	Peter Fisk	Louise Crane-Bowes	3August1999
69	28	"A Whole Lot to Lose"	Di Drew	John Banas	10August1999
70	29	"Just Like a Woman"	Geoff Bennett	Alexa Wyatt	17August1999
71	30	"Three’s a Crowd"	Catherine Roden	Chris Hawkshaw	24August1999
72	31	"Time Bombs"	Peter Fisk & Catherine Roden	Peter Neale	31August1999
73	32	"Memories by Moonlight"	Peter Sharp	Charlie Strachan	7September1999
74	33	"True Love and the Blues"	Geoff Bennett	Serge Lazareff	14September1999
75	34	"Knowing Me, Knowing You"	Catherine Roden	David Phillips	21September1999
76	35	"When Duty Calls"	Peter Fisk	Louise Crane-Bowes	28September1999
77	36	"The Ties That Bind"	Mark Piper	Anthony Ellis	5October1999
78	37	"Lost and Found"	Geoff Bennett	Margaret Wilson	12October1999
79	38	"The Stuff of Dreams"	Catherine Roden	Annette Moore	19October1999
80	39	"Outside the Square"	Peter Fisk	Andy Ryan	26October1999
81	40	"Everyone Loves a Winner"	Mark Piper	Chris Hawkshaw	2November1999
82	41	"Blood and Water"	Kevin Carlin	Serge Lazareff	9November1999
83	42	"Life Class"	Catherine Roden	Charlie Strachan	16November1999
84	43	"Ghosts of Christmas Past"	Peter Fisk	Louise Crane-Bowes	23November1999
