Rank	Rider	Team	Speed	Time
1	Daniel Kneen	600cc Yamaha	115.686mph	58' 42.33
2	Ryan McCay	600cc Suzuki	113.318mph	59' 55.93
3	Phil McGurk	600cc Honda	113.167mph	1:00.00.74
4	Mickey Fitzpatrick	600cc Honda	112.571mph	1:00.19.80
5	Russell Mountford	600cc Yamaha	112.183mph	1:00.31.31
6	Trevor Fergusson	675cc Triumph	111.558mph	1:00.52.67
7	Michael Russell	600cc Suzuki	110.895mph	1:01.14.62
8	Wayne Kirwan	600cc Suzuki	110.891mph	1:01.14.62
9	Noel Patterson	600cc Suzuki	110.767mph	1:01.18.75
10	Kirk Farrow	600cc Honda	110.743mph	1:01.19.54
