Draft	Round	Pick	Player	Nationality
1963	1	1	Garry Monahan Category:Articles with hCards	Canada
1963	2	7	Rodney Presswood	Canada
1963	3	13	Roy Pugh	Canada
1963	4	18	Glen Shirton Category:Articles with hCards	Canada
1964	1	6	Claude Chagnon Category:Articles with hCards	Canada
1964	2	12	Guy Allen	Canada
1964	3	18	Paul Reid	Canada
1964	4	24	Michel Jacques	Canada
1965	1	5	Pierre Bouchard Category:Articles with hCards	Canada
1966	1	5	Phil Myre Category:Articles with hCards	Canada
1966	2	11	Moe St. Jacques	Canada
1966	3	17	Jude Drouin Category:Articles with hCards	Canada
1966	4	23	Bob Pate	Canada
1967	1	8	Elgin McCann Category:Articles with hCards	Canada
1968	1	1	Michel Plasse Category:Articles with hCards	Canada
1968	1	2	Roger Belisle	Canada
1968	1	3	Jim Pritchard Category:Articles with hCards	Canada
1968	3	23	Don Grierson Category:Articles with hCards	Canada
1969	1	1	Rejean Houle Category:Articles with hCards	Canada
1969	1	2	Marc Tardif Category:Articles with hCards	Canada
1969	3	32	Bobby Sheehan Category:Articles with hCards	United States
1969	4	44	Murray Anderson Category:Articles with hCards	Canada
1969	5	56	Gary Doyle Category:Articles with hCards	Canada
1969	6	63	Guy Delparte Category:Articles with hCards	Canada
1969	6	68	Lynn Powis Category:Articles with hCards	Canada
1969	7	74	Ian Wilkie Category:Articles with hCards	Canada
1969	7	75	Dale Power Category:Articles with hCards	Canada
1969	8	79	Frank Hamill Category:Articles with hCards	Canada
1969	9	83	Gilles Drolet Category:Articles with hCards	Canada
1969	10	84	Darrel Knibbs Category:Articles with hCards	Canada
1970	1	5	Ray Martyniuk Category:Articles with hCards	Canada
1970	1	6	Chuck Lefley Category:Articles with hCards	Canada
1970	3	31	Steve Carlyle Category:Articles with hCards	Canada
1970	4	45	Cal Hammond Category:Articles with hCards	Canada
1970	4	52	John French Category:Articles with hCards	Canada
1970	4	66	Rick Wilson Category:Articles with hCards	Canada
1970	6	80	Robert Brown Category:Articles with hCards	Canada
1970	7	93	Bob Fowler Category:Articles with hCards	United States
1970	8	105	Ric Jordan Category:Articles with hCards	Canada
1971	1	1	Guy Lafleur Category:Articles with hCards	Canada
1971	1	7	Chuck Arnason Category:Articles with hCards	Canada
1971	1	11	Murray Wilson Category:Articles with hCards	Canada
1971	2	20	Larry Robinson Category:Articles with hCards	Canada
1971	2	24	Michel Deguise Category:Articles with hCards	Canada
1971	2	25	Terry French Category:Articles with hCards	Canada
1971	3	31	Jim Cahoon Category:Articles with hCards	Canada
1971	4	45	Ed Sidebottom Category:Articles with hCards	Canada
1971	4	53	Greg Hubick Category:Articles with hCards	Canada
1971	5	67	Mike Busniuk Category:Articles with hCards	Canada
1971	6	81	Ross Butler Category:Articles with hCards	Canada
1971	7	95	Peter Sullivan Category:Articles with hCards	Canada
