Week	Date	Opponent	Result	Attendance
1	September 9, 1961	Oakland Raiders	W 55–0	16,231
2	Bye	Bye	Bye	Bye
3	September 24, 1961	at San Diego Chargers	L 34–24	29,210
4	October 1, 1961	at Dallas Texans	L 26-21	28,000
5	October 8, 1961	Buffalo Bills	L 22–12	22,761
6	October 13, 1961	at Boston Patriots	T 31–31	15,070
7	October 22, 1961	Dallas Texans	W 38-7	21,237
8	October 29, 1961	at Buffalo Bills	W 28-16	23,228
9	November 5, 1961	at Denver Broncos	W 55–14	11,564
10	November 12, 1961	Boston Patriots	W 27–15	35,649
11	November 19, 1961	New York Titans	W 49–13	33,428
12	November 26, 1961	Denver Broncos	W 45–14	27,864
13	December 3, 1961	San Diego Chargers	W 33–13	37,845
14	December 10, 1961	at New York Titans	W 48–21	9,462
15	December 17, 1961	at Oakland Raiders	W 47–16	4,821
