Heat	Lane	Name	Nationality	Time
10	4	Cate Campbell	Australia	24.20
11	4	Marleen Veldhuis	Netherlands	24.38
10	5	Dara Torres	United States	24.58
12	4	Lisbeth Trickett	Australia	24.67
11	6	Jeanette Ottesen	Denmark	24.83
12	5	Britta Steffen	Germany	24.90
12	2	Zhu Yingwen	China	24.91
10	3	Francesca Halsall	Great Britain	24.93
11	5	Therese Alshammar	Sweden	24.94
12	6	Malia Metella	France	24.95
11	2	Arlene Semeco	Venezuela	24.98
11	3	Hinkelien Schreuder	Netherlands	25.00
11	8	Li Zhesi	China	25.00
12	3	Kara Lynn Joyce	United States	25.01
12	1	Hanna-Maria Seppälä	Finland	25.06
10	6	Aliaksandra Herasimenia	Belarus	25.07
12	7	Agata Ewa Korc	Poland	25.14
11	1	Céline Couderc	France	25.22
8	7	Anna Gostomelsky	Israel	25.23
12	8	Sviatlana Khakhlova	Belarus	25.27
9	5	Triin Aljand	Estonia	25.29
10	2	Anna-Karin Kammerling	Sweden	25.34
10	7	Flavia Cazziolato	Brazil	25.34
8	2	Arianna Vanderpool-Wallace	Bahamas	25.40
10	1	Petra Dallmann	Germany	25.43
11	7	Lize-Mari Retief	South Africa	25.44
9	4	Martina Moravcová	Slovakia	25.47
9	7	Anastasia Aksenova	Russia	25.51
8	5	Sandra Kazíková	Czech Republic	25.54
9	6	Victoria Poon	Canada	25.58
9	8	Chang Hee-Jin	South Korea	25.59
9	2	Oksana Serikova	Ukraine	25.65
9	1	Martha Matsa	Greece	25.68
10	8	Cristina Chiuso	Italy	25.74
9	3	Vanessa García	Puerto Rico	25.81
8	3	Ragnheidur Ragnarsdottir	Iceland	25.82
8	1	Natasha Moodie	Jamaica	25.95
7	1	Carolina Colorado	Colombia	26.11
6	6	Rugilė Mileišytė	Lithuania	26.19
7	2	Sharntelle McLean	Trinidad and Tobago	26.19
7	5	Eva Dobar	Hungary	26.33
6	2	Anna-Liza Mopio-Jane	Papua New Guinea	26.47
7	3	Nina Sovinek	Slovenia	26.49
6	3	Yamile Bahamonde	Ecuador	26.54
7	6	Yu Ning Elaine Chan	Hong Kong	26.54
7	8	Marina Mulyayeva	Kazakhstan	26.57
6	5	Christel Simms	Philippines	26.64
8	8	Chii Lin Leung	Malaysia	26.75
7	4	Monika Babok	Croatia	26.84
6	4	Veronica Vdovicenco	Moldova	26.92
5	4	Sharon Paola Fajardo Sierra	Honduras	27.19
6	7	Ngozi Monu	Nigeria	27.39
6	1	Ellen Lendra Hight	Zambia	27.42
5	5	Chinyere Pigot	Suriname	27.66
5	7	Dalia Tórrez Zamora	Nicaragua	27.81
5	3	Razan Taha	Jordan	27.82
6	8	Marianela Quesada	Costa Rica	28.11
4	4	Ximene Gomes	Mozambique	28.15
5	2	Rovena Marku	Albania	28.15
5	6	Tojohanitra Andriamanjatoarimanana	Madagascar	28.54
4	8	Senele Dlamini	Swaziland	28.70
4	1	Virginia Farmer	American Samoa	28.82
5	1	Diane Etiennette	Mauritius	28.83
4	3	Katerine Moreno	Bolivia	29.05
5	8	Ana Crysna da Silva Romero	Angola	29.06
3	5	Olivia Aya Nakitanda	Uganda	29.38
4	2	Dashtserengiin Saintsetseg	Mongolia	29.63
7	7	Mariya Bugakova	Uzbekistan	29.73
4	5	Kiran Khan	Pakistan	29.84
3	4	Samantha Paxinos	Botswana	29.91
3	8	Amber Yobech	Palau	30.00
4	6	Aminath Rouya Hussain	Maldives	30.21
4	7	Doli Akhter	Bangladesh	30.23
1	5	Sameera Al Bitar	Bahrain	30.32
3	6	Julianne Kirchner	Marshall Islands	30.42
3	7	Debra Daniel	Federated States of Micronesia	30.61
3	2	Magdalena Moshi	Tanzania	31.37
3	1	Vitiny Hemthon	Cambodia	31.41
2	7	Zakiya Nassar	Palestine	31.97
3	3	Katerina Izmaylova	Tajikistan	32.09
2	5	Karishma Karki	Nepal	32.35
2	4	Zahra Pinto	Malawi	32.53
2	6	Antoinette Guedia Mouafo	Cameroon	33.59
2	3	Vilayphone Vongphachanh	Laos	34.79
2	2	Elisabeth Nikiema	Burkina Faso	34.98
2	8	Elsie Uwamahoro	Burundi	36.86
1	6	Gloria Koussihouede	Benin	37.09
1	3	Pamela Girimbabazi	Rwanda	39.78
1	4	Djene Barry	Guinea	39.80
2	1	Mariama Souley Bana	Niger	40.83
8	4	Miroslava Najdanovski	Serbia	DNS
8	6	Bayan Jumah	Syria	DNS
