Player	Span	Start	Tries	Conv	Pens	Drop	Lost	Draw
Elisi Vunipola	1990-2005	40	8	2	2	0	26	0
Pierre Hola	1998-2009	38	11	68	39	3	26	0
Benhur Kivalu	1998-2005	35	8	0	0	0	24	1
Manu Vunipola	1987-1999	31	2	0	0	0	23	1
Fe'ao Vunipola	1988-2001	32	3	0	0	0	20	1
Aleki Lutui	1999-2011	26	5	0	0	0	23	1
Ephraim Taukafa	2002-2011	17	6	0	0	0	19	0
Viliami Vaki	2001-2008	26	7	0	0	0	24	0
Vili Ma'asi	1997-2009	15	3	0	0	0	25	0
4 players on 29 caps	4 players on 29 caps	4 players on 29 caps	4 players on 29 caps	4 players on 29 caps	4 players on 29 caps	4 players on 29 caps	4 players on 29 caps	4 players on 29 caps
