Position	Pilot	Glider	Speed	Distance
1	Sebastian Kawa	Diana 2	123.4km/h	282.0km
2	Ben Flewett	ASW 27	123.3km/h	282.0km
3	Steve Jones	Ventus 2ax	122.4km/h	282.0km
4	Petr Krejcirik	Ventus 2ax	121.6km/h	282.0km
5	Uli Schwenk	Ventus 2ax	121.4km/h	282.0km
6	Herbert Weiss	ASG 29	120.5km/h	282.0km
7	Mark Holliday	ASW 27	120.2km/h	282.0km
8	Christophe Ruch	Ventus 2a	119.4km/h	282.0km
9	Giorgio Galetto	Ventus 2ax	118.9km/h	282.0km
10	Mario Kiessling	Ventus 2ax	118.8km/h	282.0km
11	Peter Harvey	ASW 27	118.6km/h	282.0km
12	Bruce Taylor	ASW 27	117.6km/h	282.0km
13	Vladimir Panafutin	LS6C	115.7km/h	282.0km
14	Didier Hauss	Ventus 2cxT	115.4km/h	282.0km
15	Oscar Goudriaan	Ventus	109.6km/h	282.0km
16	Erwin Sommer	Ventus 2ax	96.7km/h	282.0km
17	Tim McAllister	Ventus C	92.8km/h	282.0km
18	Michael Sommer	ASG 29	10.7km/h	282.0km
