Outcome	Date	Tournament	Surface	Opponent	Score
Runner-up	13 January 2003	El Salvador F2, El Salvador	Clay	Alejandro Falla	4–6, 4–6
Runner-up	28 June 2004	U.S.A. F17, USA	Clay	Michael Russell	3–6, 0–6
Runner-up	4 April 2005	Chile F1, Chile	Clay	Juan Martín del Potro	4–6, 6–7(6)
Runner-up	20 June 2005	Romania F8, Romania	Clay	Victor Crivoi	1–6, 2–6
Runner-up	25 July 2005	Romania F13, Romania	Clay	Cesar Ferrer-Victoria	4–6, 6–3, 3–6
Runner-up	8 May 2006	Colombia F4, Colombia	Clay	Pablo Gonzalez	4–6, 6–3, 5–7
Winner	21 August 2006	Mexico F13, Mexico	Clay	Daniel Garza	7–6(4), 6–1
Winner	6 November 2006	Chile F3, Chile	Clay	Iván Miranda	6–1, 6–4
Winner	15 October 2007	Chile F1, Chile	Clay	Damian Patriarca	6–3, 3–6, 7–6(8)
Winner	19 November 2007	Chile F6, Chile	Clay	Leandro Migani	6–1, 3–6, 7–5
Winner	6 October 2008	Chile F1, Chile	Clay	Federico Sansonetti	6–2, 6–1
Winner	13 October 2008	Chile F2, Chile	Clay	Federico Sansonetti	6–2, 6–2
Runner-up	27 October 2008	Chile F4, Chile	Clay	Julio Peralta	4–6, 2–6
Winner	3 November 2008	Peru F4, Peru	Clay	Gabriel Moraru	4–6, 7–5, 7–6(4)
Winner	25 May 2009	Argentina F7, Argentina	Clay	Federico Delbonis	6–3, 6–4
Winner	24 August 2009	Brazil F16, Brazil	Clay	André Miele	3–6, 6–3, 7–6(2)
Winner	31 August 2009	Brazil F17, Brazil	Clay	Tiago Lopes	6–1, 6–2
Winner	5 October 2009	Chile F1, Chile	Clay	Guillermo Rivera-Aránguiz	7–6(9), 6–2
Winner	26 October 2009	Chile F4, Chile	Clay	Cristóbal Saavedra-Corvalán	6–7(10), 6–3, 6–3
Winner	2 November 2009	Chile F5, Chile	Clay	Iván Miranda	6–4, 7–5
Runner-up	16 November 2009	Lima , Peru	Clay	Eduardo Schwank	5–7, 4–6
Runner-up	20 June 2011	Netherlands F3, Netherlands	Clay	Pablo Galdón	3–6, 3–6
Winner	3 July 2011	France F10, France	Clay	Kenny De Schepper	7–6(4), 6–4
Runner-up	13 February 2012	Chile F1, Chile	Clay	Guillermo Hormazábal	3–6, 6–3, 3–6
Winner	9 June 2012	Chile F7, Chile	Clay	Guillermo Rivera-Aránguiz	7–6(4), 6–4
Winner	24 June 2012	Peru F5, Peru	Clay	Julio César Campozano	6–3, 5–7, 6–4
Runner-up	30 June 2012	Peru F6, Peru	Clay	Duilio Beretta	7–5, 3–6, 5–7
Runner-up	19 August 2012	Italy F22, Italy	Clay	Simone Vagnozzi	4–6, 6–7(5)
Winner	2 September 2012	Italy F24, Italy	Hard	Claudio Grassi	3–6, 7–6(4), 6–3
Runner-up	9 December 2012	Chile F14, Chile	Clay	Hans Podlipnik	3–6, 5–7
Winner	16 December 2012	Chile F15, Chile	Clay	Guillermo Rivera-Aránguiz	5–7, 6–3, 6–3
Winner	23 December 2012	Chile F16, Chile	Clay	Hans Podlipnik	6–4, 3–6, 6–3
