Title	Series	Director	Release date	reissue?
Wise Quackers	LT	I. Freleng	1949-01-01	Yes
Hare Do	MM	I. Freleng	1949-01-15	No
Holiday For Drumsticks	MM	Arthur Davis	1949-01-22	No
Awful Orphan	MM	Charles M. Jones	1949-01-29	Yes
Porky Chops	LT	Arthur Davis	1949-02-12	No
Mississippi Hare	LT	Charles M. Jones	1949-02-26	No
Paying the Piper	LT	Robert McKimson	1949-03-12	Yes
Daffy Duck Hunt	LT	Robert McKimson	1949-03-26	Yes
Rebel Rabbit	MM	Robert McKimson	1949-04-09	Yes
Mouse Wreckers	LT	Charles M. Jones	1949-04-23	Yes
High Diving Hare	LT	I. Freleng	1949-04-30	Yes
The Bee-Deviled Bruin	MM	Charles M. Jones	1949-05-14	Yes
Curtain Razor	LT	I. Freleng	1949-05-21	No
Bowery Bugs	MM	Arthur Davis	1949-06-04	Yes
Mouse Mazurka	MM	I. Freleng	1949-06-11	Yes
Long-Haired Hare	LT	Charles M. Jones	1949-06-25	No
Henhouse Henery	LT	Robert McKimson	1949-07-02	Yes
Knights Must Fall	MM	I. Freleng	1949-07-16	Yes
Bad Ol' Putty Tat	MM	I. Freleng	1949-07-23	Yes
The Grey Hounded Hare	LT	Robert McKimson	1949-08-06	Yes
Often an Orphan	MM	Charles M. Jones	1949-08-13	Yes
The Windblown Hare	LT	Robert McKimson	1949-08-27	No
Dough for the Do-Do	MM	I. Freleng (uncredited)	1949-09-03	Yes
Fast and Furry-ous	LT	Charles M. Jones	1949-09-17	Yes
Each Dawn I Crow	MM	I. Freleng	1949-09-24	Yes
Frigid Hare	MM	Charles M. Jones	1949-10-08	No
Swallow The Leader	LT	Robert McKimson	1949-10-15	Yes
Bye, Bye Bluebeard	MM	Arthur Davis	1949-10-22	Yes
For Scent-imental Reasons	LT	Charles M. Jones	1949-11-12	Yes
Hippety Hopper	MM	Robert McKimson	1949-11-19	Yes
Which Is Witch	LT	I. Freleng	1949-12-03	No
Bear Feat	LT	Charles M. Jones	1949-12-10	Yes
Rabbit Hood	MM	Charles M. Jones	1949-12-24	Yes
A Ham in a Role	LT	Robert McKimson	1949-12-31	Yes
