8:00	8:30	9:00	9:30	10:00
Ugly Betty	Ugly Betty	Grey's Anatomy (#10, 5.6 rating)	Grey's Anatomy (#10, 5.6 rating)	Big Shots
Lost (Reruns)	Lost (Reruns)	Lost (#19, 4.6 rating)	Lost (#19, 4.6 rating)	Eli Stone
Miss Guided	Miss Guided	Lost (#19, 4.6 rating)	Lost (#19, 4.6 rating)	Eli Stone
Ugly Betty	Ugly Betty	Grey's Anatomy (#10, 5.6 rating)	Grey's Anatomy (#10, 5.6 rating)	Lost (#19, 4.6 rating)
Survivor: Micronesia (#17, 4.8 rating)	Survivor: Micronesia (#17, 4.8 rating)	CSI: Crime Scene Investigation (#9, 5.8 rating)	CSI: Crime Scene Investigation (#9, 5.8 rating)	Without a Trace (#19, 4.6 rating)
Smallville	Smallville	Supernatural	Supernatural	Local Programming
Smallville	Smallville	Reaper	Reaper	Local Programming
Are You Smarter Than a 5th Grader?	Are You Smarter Than a 5th Grader?	Don't Forget the Lyrics!	Don't Forget the Lyrics!	Local Programming
My Thursday Night Movie	My Thursday Night Movie	My Thursday Night Movie	My Thursday Night Movie	Local Programming
Various Comedy repeats	Various Comedy repeats	The Celebrity Apprentice	The Celebrity Apprentice	Lipstick Jungle
My Name Is Earl	30 Rock	The Office	Scrubs	ER
My Name Is Earl	Scrubs	The Office	30 Rock	ER
