Navy	Name	Pennant	Commissioned	Home port
Royal Navy	Brecon	M29	1980	HMS Raleigh
Royal Navy	Ledbury	M30	1981	Portsmouth
Royal Navy	Cattistock	M31	1982	Portsmouth
Royal Navy	Cottesmore	M32	1983	Portsmouth
Royal Navy	Brocklesby	M33	1982	Portsmouth
Royal Navy	Middleton	M34	1984	Portsmouth
Royal Navy	Dulverton	M35	1983	Portsmouth
Royal Navy	Bicester	M36	1988	Portsmouth
Royal Navy	Chiddingfold	M37	1984	Portsmouth
Royal Navy	Atherstone	M38	1986	Portsmouth
Royal Navy	Hurworth	M39	1985	Portsmouth
Royal Navy	Berkeley	M40	1986	Portsmouth
Royal Navy	Quorn	M41	1989	Portsmouth
Hellenic Navy	Europa	M62	2001	Salamis
Hellenic Navy	Kallisto	M63	2000	Salamis
Lithuanian Naval Force	Skalvis	M53	2011	Klaipėda
Lithuanian Naval Force	Kuršis	M51	2011	Klaipėda
