Name	Height (cm)	Weight (kg)	Birthdate	Birthplace	1963–1964 Team
David Brooks	175	68	27 December 1939	| Saint Paul, Minnesota	Rochester Mustangs ( USHL )
Herb Brooks	186	98	5 August 1937	| Saint Paul, Minnesota	Rochester Mustangs ( USHL )
Roger Christian	175	68	1 December 1935	| Warroad, Minnesota	Warroad Lakers
Bill Christian	176	80	29 January 1938	| Warroad, Minnesota	Warroad Lakers
Paul Coppo	180	80	2 November 1938	Hancock, Michigan	Green Bay Bobcats ( USHL )
Daniel Dilworth	172	77	23 February 1942	International Falls, Minnesota	St. Paul Saints ( IHL )
Dates Fryberger	177	73	5 May 1940	Duluth, Minnesota	Middlebury College
Paul Johnson	183	82	18 May 1937	West St. Paul, Minnesota	Waterloo Black Hawks ( USHL )
Red Martin	183	86	5 July 1938	Boston, Massachusetts	None
Jim McCoy	177	82	2 January 1942	Minneapolis, Minnesota	Blind River Hockey Club
Wayne Meredith	175	80	4 October 1939	South Bend, Indiana	St. Paul Saints ( IHL )
William Reichart	170	71	3 July 1935	Winnipeg, Manitoba	Rochester Mustangs ( USHL )
Donald Ross	180	83	11 October 1942	Roseau, Minnesota	University of North Dakota ( NCAA )
Pat Rupp	175	81	12 August 1942	Detroit, Michigan	Flin Flon Bombers ( SJHL )
Gary Schmaltzbauer	175	73	27 January 1940	Saint Paul, Minnesota	Rochester Mustangs ( USHL )
James Westby	183	82	5 February 1937	Minneapolis, Minnesota	Fort Frances Canadians
Thomas Yurkovich	180	82	29 October 1935	Eveleth, Minnesota	Rochester Mustangs ( USHL )
