Tie no	Home team	Score	Away team	Date
1	Southampton	3–0	Wigan Athletic	25 January 1986
2	Reading	1–1	Bury	25 January 1986
Replay	Bury	3–0	Reading	28 January 1986
3	Notts County	1–1	Tottenham Hotspur	25 January 1986
Replay	Tottenham Hotspur	5–0	Notts County	29 January 1986
4	Aston Villa	1–1	Millwall	25 January 1986
Replay	Millwall	1–0	Aston Villa	29 January 1986
5	Sheffield Wednesday	5–0	Orient	25 January 1986
6	Sunderland	0–0	Manchester United	25 January 1986
Replay	Manchester United	3–0	Sunderland	29 January 1986
7	Luton Town	4–0	Bristol Rovers	25 January 1986
8	Everton	3–1	Blackburn Rovers	25 January 1986
9	Sheffield United	0–1	Derby County	25 January 1986
10	Manchester City	1–1	Watford	25 January 1986
Replay	Watford	0–0	Manchester City	3 February 1986
Replay	Manchester City	1–3	Watford	6 February 1986
11	West Ham United	0–0	Ipswich Town	25 January 1986
Replay	Ipswich Town	1–1	West Ham United	4 February 1986
Replay	Ipswich Town	0–1	West Ham United	6 February 1986
12	Hull City	2–3	Brighton & Hove Albion	25 January 1986
13	Chelsea	1–2	Liverpool	26 January 1986
14	Arsenal	5–1	Rotherham United	25 January 1986
15	York City	2–0	Altrincham	25 January 1986
16	Peterborough United	1–0	Carlisle United	25 January 1986
