Province, Community	Contestant	Age	Height	Hometown	Geographical Regions
Azua	Julissa Alcantara de Fiallo	22	m (ft 9in)	Santo Domingo	Sur Occidente
Barahona	Desireé Álvarez Lama	19	m (ft 9 3⁄4 in)	Santa Cruz de Barahona	Sur Occidente
Com. Dom. En California	Mónica Angulo Pucheaux	18	m (ft 9 1⁄4 in)	Los Angeles	Exterior
Com. Dom. En Miami	Onidys Reynosa Espinal	21	m (ft 8in)	Miami	Exterior
Com. Dom. En Nueva York	Joslyn Cabrera Ruiz	18	m (ft 11 1⁄4 in)	New York	Exterior
Distrito Nacional	Katherine Germania Almos Rey	24	m (ft 10 1⁄2 in)	Villa Juana	Sur Oriente
Duarte	Lissette Abreu Ynoa	22	m (ft 7 1⁄4 in)	Constanza	Cibao Oriental
Independencia	Nathalie Venecia Gutiérrez Arias	20	m (ft 11 3⁄4 in)	Santo Domingo	Sur Occidente
La Altagracia	Patrizia Karina Gagg Jiménez	20	m (ft 11 1⁄4 in)	Villa Hermosa	Sur Oriente
La Romana	Anna Karina Toledo Espinoza	22	m (ft 6 1⁄4 in)	La Romana	Sur Oriente
La Vega	Cindy Magdalena Torrealba Cruz	17	m (ft 10 1⁄2 in)	Jarabacoa	Cibao Central
María Trinidad Sánchez	Massiel Javier Cañizarez	19	m (ft 10 3⁄4 in)	Cabrera	Cibao Oriental
Monseñor Nouel	Claudia Julissa Cruz Rodríguez	18	m (ft 9in)	Bonao	Cibao Central
Monte Cristi	Hareld Ellien Mossle Casado	17	m (ft 7in)	Santiago de los Caballeros	Cibao Occidental
Puerto Plata	Wilma Joana Abreu Nazario	20	m (ft 6 1⁄2 in)	Santiago de los Caballeros	Cibao Occidental
Salcedo	Josefina de Arias Camacho	24	m (ft 5 1⁄4 in)	Santo Domingo	Cibao Central
Samaná	Genevet Nicol Gutiérrez Kourie	18	m (ft 7 3⁄4 in)	Santa Bárbara de Samaná	Cibao Oriental
San Pedro de Macorís	Natascha Forestieri de los Santos	23	m (ft 0in)	San Pedro de Macorís	Sur Oriente
Santiago	Cindy Guerrero Reynoso	26	m (ft 10in)	Santiago de los Caballeros	Cibao Occidental
