Date	Opponent	Score	Loss	Attendance	Record
June 1	@ Mariners	3 - 0	Chacín (5-4)	24,815	28-25
June 2	@ Athletics	5 - 3	Towers (5-4)	10,637	28-26
June 3	@ Athletics	6 - 2	Glynn (0-1)	12,332	29-26
June 4	@ Athletics	5 - 2	Lilly (3-6)	25,273	29-27
June 5	@ Athletics	12 - 4	Gaudin (1-1)	28,754	29-28
June 6	@ Cubs	4 - 1	Koronka (1-1)	38,807	30-28
June 7	@ Cubs	6 - 4	Wellemeyer (1-1)	39,159	31-28
June 8	@ Cubs	2 - 0	Halladay (9-3)	38,086	31-29
June 10	@ Astros	4 - 2	Lilly (3-7)	28,607	31-30
June 11	@ Astros	6 - 3	Schoeneweis (2-2)	34,925	31-31
June 12	@ Astros	3 - 0	Towers (5-5)	30,584	31-32
June 13	Cardinals	4 - 1	Suppan (5-6)	20,032	32-32
June 14	Cardinals	7 - 0	Gaudin (1-2)	37,536	32-33
June 15	Cardinals	5 - 2	Marquis (8-4)	22,905	33-33
June 17	Brewers	9 - 5	Davis (8-6)	17,615	34-33
June 18	Brewers	5 - 2	Halladay (10-4)	25,264	34-34
June 19	Brewers	5 - 2	Towers (5-6)	30,480	34-35
June 20	Orioles	11 - 2	Chen (6-5)	15,849	35-35
June 21	Orioles	9 - 5	Chacín (6-5)	17,884	35-36
June 22	Orioles	3 - 2	Cabrera (5-7)	20,617	36-36
June 23	Orioles	6 - 2	Ponson (7-5)	22,390	37-36
June 24	@ Nationals	3 - 0	Towers (5-7)	36,689	37-37
June 25	@ Nationals	5 - 2	Lilly (5-8)	39,881	37-38
June 26	@ Nationals	9 - 5	Ayala (6-4)	33,557	38-38
June 27	@ Devil Rays	4 - 3	Walker (3-1)	8,779	38-39
June 28	@ Devil Rays	3 - 1 (11)	Waechter (3-6)	8,545	39-39
June 29	@ Devil Rays	12 - 3	Hendrickson (3-5)	20,267	40-39
