Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
1	November 1	Phoenix Suns	L 95-99	R. Pierce (25)	M. Cage (13)	G. Payton (7)	Seattle Center Coliseum 12,863	0-1
2	November 3	San Antonio Spurs	L 98-106	D. McKey (23)	M. Cage (9)	N. McMillan (10)	Seattle Center Coliseum 12,863	0-2
3	November 5	Sacramento Kings	W 98-87	D. McKey (20)	M. Cage (16)	G. Payton (9)	Seattle Center Coliseum 9,343	1-2
4	November 7	@ Utah Jazz	W 103-95	B. Benjamin (22)	B. Benjamin (13)	G. Payton (5)	Delta Center 18,700	2-2
5	November 9	Indiana Pacers	W 118-111	M. Cage (23)	M. Cage (22)	G. Payton (7)	Seattle Center Coliseum 11,930	3–2
6	November 14	@ Cleveland Cavaliers	L 109-115 (OT)	R. Pierce (29)	M. Cage (10)	G. Payton (12)	Coliseum at Richfield 10,838	3–3
7	November 15	@ Indiana Pacers	W 124-108	R. Pierce (34)	M. Cage (14)	G. Payton (15)	Market Square Arena 10,877	4–3
8	November 17	@ Minnesota Timberwolves	W 101-91	R. Pierce (28)	M. Cage (11)	G. Payton (9)	Target Center 19,006	5–3
9	November 19	@ Washington Bullets	W 113-106	G. Payton (22)	M. Cage (20)	G. Payton (7)	Capital Centre 7,015	6–3
10	November 20	@ Detroit Pistons	W 91-86	R. Pierce (18)	M. Cage (9)	N. McMillan , G. Payton (4)	The Palace of Auburn Hills 21,454	7-3
11	November 22	Chicago Bulls	L 109-112 (OT)	R. Pierce (30)	B. Benjamin , M. Cage (12)	G. Payton (7)	Kingdome 38,067	7–4
12	November 24	@ Los Angeles Clippers	L 86-89	R. Pierce (28)	B. Benjamin (15)	B. Benjamin , N. McMillan (5)	Los Angeles Memorial Sports Arena 9,196	7-5
13	November 26	Golden State Warriors	W 136-130 (OT)	E. Johnson (29)	D. McKey (15)	N. McMillan (9)	Seattle Center Coliseum 11,743	8-5
14	November 29	@ Denver Nuggets	L 90-101	E. Johnson (20)	M. Cage (13)	G. Payton (4)	McNichols Sports Arena 10,613	8-6
