Season	Club	Competition	Apps	Goals
1995/96	FC Twente	Eredivisie	1	0
1996/97	FC Twente	Eredivisie	0	0
1997/98	FC Twente	Eredivisie	0	0
1998/99	FC Twente	Eredivisie	1	0
1999/00	FC Twente	Eredivisie	0	0
2000/01	Cambuur	Eerste divisie	24	0
2001/02	Cambuur	Eerste divisie	33	0
2002/03	FC Twente	Eredivisie	3	0
2003/04	FC Twente	Eredivisie	21	0
2004/05	FC Twente	Eredivisie	5	0
2004/05	ADO Den Haag	Eredivisie	4	0
2005/06	ADO Den Haag	Eredivisie	2	0
2006/07	FC Twente	Eredivisie	1	0
2007/08	FC Twente	Eredivisie	0	0
2008/09	FC Twente	Eredivisie	0	0
2009/10	FC Twente	Eredivisie	1	0
2010/11	Excelsior	Eredivisie	24	0
Total	Total	Total	120	0
