Rank	Title	Studio	Director	Gross
1.	Ghost	Paramount	Jerry Zucker	$505,702,588
2.	Home Alone	20th Century Fox	Chris Columbus	$476,684,675
3.	Pretty Woman	Touchstone	Garry Marshall	$463,406,268
4.	Dances with Wolves	Orion	Kevin Costner	$424,208,848
5.	Total Recall	Tri-Star / Carolco	Paul Verhoeven	$261,299,840
6.	Back to the Future Part III	Universal	Robert Zemeckis	$244,527,583
7.	Die Hard 2: Die Harder	20th Century Fox	Renny Harlin	$240,031,094
8.	Presumed Innocent	Warner Bros.	Alan J. Pakula	$221,303,188
9.	Teenage Mutant Ninja Turtles	New Line	Steve Barron	$201,965,915
10	Kindergarten Cop	Universal	Ivan Reitman	$201,957,688
11.	The Hunt for Red October	Paramount	John McTiernan	$200,512,643
12.	Dick Tracy	Touchstone	Warren Beatty	$162,738,726
13.	Days of Thunder	Paramount	Tony Scott	$157,920,733
14.	Another 48 Hrs.	Paramount	Walter Hill	$153,518,974
15.	Bird on a Wire	Universal	John Badham	$138,697,012
16.	The Godfather Part III	Paramount	Francis Ford Coppola	$136,766,062
17.	Rocky V	United Artists	John G. Avildsen	$119,946,358
18.	Edward Scissorhands	20th Century Fox	Tim Burton	$86,024,005
19.	Problem Child	Universal	Dennis Dugan	$53,470,900
20.	Marked for Death	20th Century Fox	Dwight H. Little	$57,968,936
