Driver	Constructor	Laps	Time/Retired	Grid
Rubens Barrichello	Ferrari	53	1:16:19.982	4
Michael Schumacher	Ferrari	53	+0.255	2
Eddie Irvine	Jaguar - Cosworth	53	+52.579	5
Jarno Trulli	Renault	53	+58.219	11
Jenson Button	Renault	53	+1:07.770	17
Olivier Panis	BAR - Honda	53	+1:08.491	16
David Coulthard	McLaren - Mercedes	53	+1:09.047	7
Giancarlo Fisichella	Jordan - Honda	53	+1:10.891	12
Jacques Villeneuve	BAR - Honda	53	+1:21.068	9
Nick Heidfeld	Sauber - Petronas	53	+1:22.046	15
Mika Salo	Toyota	52	+1 Lap	10
Takuma Sato	Jordan - Honda	52	+1 Lap	18
Alex Yoong	Minardi - Asiatech	47	+6 Laps	20
Juan Pablo Montoya	Williams - BMW	33	Chassis	1
Kimi Räikkönen	McLaren - Mercedes	29	Engine	6
Mark Webber	Minardi - Asiatech	20	Engine	19
Felipe Massa	Sauber - Petronas	16	Collision	14
Pedro de la Rosa	Jaguar - Cosworth	15	Collision	8
Allan McNish	Toyota	12	Suspension	13
Ralf Schumacher	Williams - BMW	4	Engine	3
