Game	Date	Opponent	Score	Location	Record
4	Fri. Nov. 1	Atlanta Hawks	109–105	Boston Garden	3–1
5	Sat. Nov. 2	@ Washington Bullets	88–73	Capital Centre	4–1
6	Fri. Nov. 8	Phoenix Suns	125–101	Boston Garden	5–1
7	Sat. Nov. 9	@ Detroit Pistons	124–105	Pontiac Silverdome	6–1
8	Wed. Nov. 13	Indiana Pacers	118–114	Boston Garden	7–1
9	Fri. Nov. 15	Washington Bullets	118–114	Boston Garden	8–1
10	Sat. Nov. 16	@ Indiana Pacers	109–111	Market Square Arena	8–2
11	Wed. Nov. 20	Utah Jazz	115–106 (OT)	Boston Garden	9–2
12	Fri. Nov. 22	Philadelphia 76ers	110–103	Boston Garden	10–2
13	Sat. Nov. 23	@ New York Knicks	113–104	Madison Square Garden	11–2
14	Tue. Nov. 26	@ Philadelphia 76ers	98–91	The Spectrum	12–2
15	Wed. Nov. 27	Detroit Pistons	132–124	Boston Garden	13–2
16	Fri. Nov. 29	New York Knicks	94–88	Boston Garden	14–2
17	Sat. Nov. 30	@ Atlanta Hawks	102–97	The Omni	15–2
