Title	Series	Director	Production Number	Release date	reissue?
Hop, Skip, and a Chump	MM	Friz Freleng	223	1942-01-03	Yes
Porky's Pastry Pirates	LT	Friz Freleng	226	1942-01-17	No
Bird Came C.O.D., The	MM	Chuck Jones	351	1942-01-17	No
Aloha Hooey	MM	Tex Avery Bob Clampett	227	1942-01-31	No
Who's Who in the Zoo	LT	Norm McCabe	224	1942-02-14	No
Porky's Cafe	LT	Chuck Jones	444	1942-02-21	No
Conrad the Sailor	MM	Chuck Jones	415	1942-02-28	No
Crazy Cruise	MM	Tex Avery Bob Clampett	445	1942-03-14	No
Wabbit Who Came to Supper, The	MM	Friz Freleng	573	1942-03-28	No
Horton Hatches the Egg	MM	Bob Clampett	441	1942-04-11	Yes
Saps in Chaps	LT	Friz Freleng	446	1942-04-11	No
Dog Tired	MM	Chuck Jones	417	1942-04-25	No
Daffy's Southern Exposure	LT	Norm McCabe	442	1942-05-02	No
Wacky Wabbit, The	MM	Bob Clampett	603	1942-05-02	No
Draft Horse, The	MM	Chuck Jones	575	1942-05-09	No
Lights Fantastic	MM	Friz Freleng	443	1942-05-23	No
Nutty News	LT	Bob Clampett	772	1942-05-23	No
Hobby Horse Laffs	LT	Norm McCabe	768	1942-06-06	No
Hold the Lion, Please	MM	Chuck Jones	609	1942-06-13	No
Double Chaser	MM	Friz Freleng	607, BR 1181	1942-06-27	Yes
Gopher Goofy	LT	Norm McCabe	440	1942-06-27	No
Bugs Bunny Gets the Boid	MM	Bob Clampett	605	1942-07-11	No
Wacky Blackout	LT	Bob Clampett	778	1942-07-11	No
Foney Fables	MM	Friz Freleng	625	1942-08-01	No
Ducktators, The	LT	Norm McCabe	770	1942-08-01	No
Squawkin' Hawk, The	MM	Chuck Jones	627	1942-08-08	Yes
Eatin' on the Cuff	LT	Bob Clampett	798	1942-08-22	No
Fresh Hare	MM	Friz Freleng	629	1942-08-22	No
Fox Pop	MM	Chuck Jones	721	1942-09-05	Yes
Impatient Patient, The	LT	Norm McCabe	774	1942-09-05	No
Dover Boys, The	MM	Chuck Jones	631	1942-09-19	No
Hep Cat, The	LT	Bob Clampett	776, BR 1177	1942-10-03	Yes
Sheepish Wolf, The	MM	Friz Freleng	719, BR 1180	1942-10-17	Yes
Daffy Duckaroo, The	LT	Norm McCabe	802	1942-10-24	No
Hare-Brained Hypnotist, The	MM	Friz Freleng	723	1942-10-31	No
Tale of Two Kitties, A	MM	Bob Clampett	725	1942-11-21	Yes
Ding Dog Daddy	MM	Friz Freleng	825	1942-12-05	No
My Favorite Duck	LT	Chuck Jones	1085, BR 1179	1942-12-05	Yes
Case of the Missing Hare	MM	Chuck Jones	829	1942-12-12	No
