Position	Driver	Points	Winnings	Series
1	Dale Earnhardt	75	$225,000	NASCAR Winston Cup
2	Mark Martin	74	$100,000	NASCAR Winston Cup
3	Bobby Labonte	53	$60,000	NASCAR Winston Cup
4	Rusty Wallace	50	$50,000	NASCAR Winston Cup
5	Jeff Gordon	49	$45,000	NASCAR Winston Cup
6	Kenny Brack	34	$40,000	Indy Racing League
7	Eddie Cheever, Jr.	31	$40,000	Indy Racing League
8	Dale Jarrett	30	$40,000	NASCAR Winston Cup
9	Dale Earnhardt Jr.	29	$40,000	NASCAR Busch Series
10	Adrian Fernandez 1	28	$40,000	FedEx CART World Series
11	Jeff Burton	26	$40,000	NASCAR Winston Cup
