Event	Record	Nationality	Date	Games
100 m	10.11 (+1.2m/s)	Jamaica	7 April 2007	2007 Providenciales
200 m	19.93 WJR	Jamaica	11 April 2004	2004 Hamilton
400 m	45.02	Grenada	3 April 2010	2010 Georgetown
800 m	1:48.95	Jamaica	April 1987	1987 Port of Spain
1500 m	3:47.56	Trinidad and Tobago	11 April 2009	2009 Vieux Fort
3000 m	8:48.20	Barbados	April 1976	1976 Nassau
5000 m	14:34.34	Jamaica	5 April 2010	2010 George Town
110 m hurdles	13.41 (+1.3m/s)	Trinidad and Tobago	5 April 2010	2010 Georgetown
300m Hurdles	41.00	Jamaica	5 May 1973	1973 Port of Spain
400 m hurdles	49.76	Trinidad and Tobago	4 April 2010	2010 Georgetown
3000 m steeplechase	9:59.62	Trinidad and Tobago	31 March 1991	1991 Port of Spain
High jump	2.21 m	Bahamas	11 April 2009	2009 Vieux Fort
Pole vault	4.60 m	Jamaica	23 March 2008	2008 Basseterre
Long jump	7.95 m	Cayman Islands	20 April 1990	1990 Kingston
Triple jump	16.35 m (-1.0m/s)	Bahamas	9 April 2012	2012 Hamilton
Shot put (6kg)	19.47 m	Jamaica	25 April 2011	2011 Montego Bay
Discus throw	63.11 m	Jamaica	3 April 2010	2010 Georgetown
Javelin throw	77.59 m AJR	Trinidad and Tobago	9 April 2012	2012 Hamilton
Heptathlon	5623 pts	Jamaica	April 1999	1999 Fort-de-France
4×100 m relay	39.43	Jamaica	20 April 2003	2003 Port of Spain
4×400 m relay	3:05.68	Jamaica	1 April 2013	2013 Nassau
