Tournament	2006	2007	2008	2009	2010	2011	2012
Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments
Australian Open	A	A	A	2R	3R	2R	SF
French Open	A	A	A	1R	3R	W	SF
Wimbledon	A	2R	1R	1R	2R	1R	F
US Open	A	A	A	2R	1R	QF	F
Win–Loss	0–0	1–1	0–1	2–4	5–4	10–3	18–4
Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games
Summer Olympics	Not Held	Not Held	A	Not Held	Not Held	Not Held	S
Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship
Tour Championships	A	A	A	A	A	A	F
WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments
Indian Wells	A	A	A	A	2R	1R	SF
Miami	A	A	A	A	1R	1R	1R
Madrid	Not Held	Not Held	Not Held	A	A	A	2R
Beijing	Tier II	Tier II	Tier II	A	A	A	A
WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments
Dubai	NH	Tier II	Tier II	A	A	A	Premier
Doha	Tier II	Tier II	A	Not Held	Not Held	P	A
Rome	A	A	A	A	2R	A	A
Montréal / Toronto	A	A	A	A	2R	A	A
Cincinnati	Tier III	Tier III	Tier III	A	A	2R	W
Tokyo	A	A	A	A	A	A	A
Career Statistics	2006	2007	2008	2009	2010	2011	2012
Tournament Played	1	3	7	10	14	19	17
Titles	0	1	2	1	1	3	4
Finals	0	1	2	1	1	5	9
Overall Win–Loss	1–1	5–2	12–5	14–9	17–13	30–16	48–12
Year-End Ranking	236	99	71	59	45	14	3
