Name	Bodyweight	Snatch	Clean & Jerk	Total (kg)
Alexandra Escobar ( ECU )	57.35	98.0	125.0	223.0
Rusmeris Villar ( COL )	57.05	90.0	114.0	204.0
Maria Cecilia Floriddia ( ARG )	57.45	90.0	110.0	200.0
Gretty Lugo ( VEN )	57.55	88.0	108.0	196.0
Geralee Vega ( PUR )	57.80	85.0	110.0	195.0
Jackie Berube ( USA )	57.85	86.0	105.0	191.0
Wildri De los Santos ( DOM )	57.35	84.0	106.0	190.0
Quisia Yaneli ( MEX )	58.00	82.0	103.0	185.0
Valérie Lefebvre ( CAN )	57.75	78.0	98.0	176.0
Eliane Silva ( BRA )	57.00	75.0	90.0	165.0
