Date	Tournament Name	Location	Partner	Score in Final
June 12, 1978	Chichester International (1)	Chichester , United Kingdom	Janet Newberry Wright	3–6, 6–3, 6–4
January 7, 1980	Avon Championships of Cincinnati	Cincinnati, Ohio , U.S.	Laura duPont	6–3, 6–3
March 22, 1980	Honda Civic Classic	Carlsbad, California , U.S.	Laura duPont	6–7, 6–4, 6–1
June 9, 1980	Crossley Carpets Trophy (2)	Chichester , United Kingdom	Betty Stöve	6–4, 7–5
July 21, 1980	Canadian Open (1)	Montreal	Anne Smith	6–3, 7–6(3)
December 8, 1980	Thunderbird Classic	Phoenix, Arizona , U.S.	Paula Smith	6–0, 6–4
December 1, 1980	Building Society New South Wales Open (1)	Sydney	Betty Stöve	6–1, 4–6, 6–4
December 8, 1980	National Panasonic Open	Adelaide, Australia	Betty Stöve	6–4, 6–3
February 1, 1981	Avon Championships of Chicago (1)	Chicago	Martina Navratilova	6–3, 6–4
March 2, 1981	Avon Championships of Dallas (1)	Dallas, Texas , U.S.	Martina Navratilova	7–5, 6–4
March 16, 1981	Avon Championships (1)	New York City	Martina Navratilova	6–0, 7–6
April 20, 1981	United Airlines Tournament (1)	Orlando, Florida , U.S.	Martina Navratilova	6–1, 7–6
June 8, 1981	BMW Championships (1)	Eastbourne , United Kingdom	Martina Navratilova	6–7, 6–2, 6–1
July 4, 1981	Wimbledon (1)	London	Martina Navratilova	6–3, 7–6
August 10, 1981	Player's Canadian Open (2)	Toronto	Martina Navratilova	7–6, 7–6
September 21, 1981	Playtex U.S. Women's Indoor Championships (1)	Minneapolis, Minnesota , U.S.	Martina Navratilova	6–3, 7–5
November 16, 1981	Building Society New South Wales Open (2)	Sydney	Martina Navratilova	6–7, 6–2, 6–4
December 21, 1981	Colgate Series Championships (1)	East Rutherford, New Jersey , U.S.	Martina Navratilova	6–3, 6–4
January 31, 1982	Avon Championships of Chicago (2)	Chicago	Martina Navratilova	7–5, 6–4
February 21, 1982	Avon Championships of Houston (1)	Houston, Texas , U.S.	Martina Navratilova	7–6, 6–2
March 14, 1982	Avon Championships of Dallas (2)	Dallas, Texas , U.S.	Martina Navratilova	6–4, 6–4
March 28, 1982	Avon Championships (2)	New York City	Martina Navratilova	6–4, 6–3
April 11, 1982	Family Circle Cup (1)	Hilton Head, South Carolina , U.S.	Martina Navratilova	6–1, 6–2
April 18, 1982	Bridgestone Doubles Championship (1)	Fort Worth, Texas , U.S.	Martina Navratilova	7–5, 6–3
June 20, 1982	BMW Championships (1)	Eastbourne , United Kingdom	Martina Navratilova	6–3, 6–4
July 4, 1982	Wimbledon (2)	London	Martina Navratilova	7–5, 6–1
October 18, 1982	Porsche Tennis Grand Prix (1)	Filderstadt , West Germany	Martina Navratilova	6–2, 6–3
October 25, 1982	Daihatsu Challenge (1)	Brighton , United Kingdom	Martina Navratilova	2–6, 7–5, 6–4
November 28, 1982	New South Wales Building Society Open (3)	Sydney	Martina Navratilova	6–2, 2–6, 7–6
November 28, 1982	Australian Open (1)	Melbourne	Martina Navratilova	6–4, 6–2
December 19, 1982	Toyota Championships (2)	East Rutherford, New Jersey , U.S.	Martina Navratilova	6–4, 7–5
January 10, 1983	Virginia Slims of Washington (1)	Washington, D.C.	Martina Navratilova	4–6, 7–5, 6–3
January 16, 1983	Virginia Slims of Houston (2)	Houston, Texas , U.S.	Martina Navratilova	6–4, 6–3
February 20, 1983	Virginia Slims of Chicago (3)	Chicago	Martina Navratilova	6–1, 6–2
March 14, 1983	Virginia Slims of Dallas (3)	Dallas, Texas , U.S.	Martina Navratilova	6–3, 6–2
March 27, 1983	Virginia Slims Championships (3)	New York City	Martina Navratilova	7–5, 6–2
June 18, 1983	BMW Championships (2)	Eastbourne , United Kingdom	Martina Navratilova	6–1, 6–0
July 3, 1983	Wimbledon (3)	London	Martina Navratilova	6–2, 6–2
July 17, 1983	Virginia Slims Hall of Fame Classic	Newport, Rhode Island , U.S.	Barbara Potter	6–3, 6–1
August 15, 1983	Virginia Slims of Los Angeles (1)	Los Angeles	Martina Navratilova	6–1, 6–0
September 12, 1983	US Open (1)	New York City	Martina Navratilova	6–7, 6–1, 6–3
October 17, 1983	Eckerd Open	Tampa, Florida , U.S.	Martina Navratilova	6–0, 6–1
October 24, 1983	Daihatsu Challenge (2)	Brighton , United Kingdom	Chris Evert	7–5, 6–3
December 12, 1983	Australian Open (2)	Melbourne	Martina Navratilova	6–4, 6–7, 6–2
January 15, 1984	Virginia Slims of California	Oakland, California , U.S.	Martina Navratilova	6–2, 6–3
February 26, 1984	Computerland U.S. Women's Indoor Championships (2)	East Hanover, New Jersey , U.S.	Martina Navratilova	6–4, 6–3
March 4, 1984	Virginia Slims Championships (4)	New York City	Martina Navratilova	6–3, 6–1
March 5, 1984	Bridgestone Doubles Championship (2)	Tokyo	Ann Kiyomura Hayashi	6–3, 6–7(7), 6–3
June 6, 1984	French Open (1)	Paris	Martina Navratilova	5–7, 6–3, 6–2
June 25, 1984	Eastbourne (3)	Eastbourne , United Kingdom	Martina Navratilova	6–4, 6–2
July 8, 1984	Wimbledon (4)	London	Martina Navratilova	6–3, 6–4
August 19, 1984	United Jersey Bank Open (1)	Mahwah, New Jersey , U.S.	Martina Navratilova	7–6(3), 3–6, 6–2
September 9, 1984	US Open (2)	New York City	Martina Navratilova	6–2, 6–4
September 30, 1984	Virginia Slims of New Orleans	New Orleans, Louisiana , U.S.	Martina Navratilova	6–4, 6–1
November 18, 1984	National Panasonic Open (1)	Brisbane, Australia	Martina Navratilova	6–3, 6–2
December 9, 1984	Australian Open (3)	Melbourne	Martina Navratilova	6–3, 6–4
March 9, 1985	U.S. Women's Indoor Championships (3)	Princeton, New Jersey , U.S.	Martina Navratilova	7–5, 6–2
March 24, 1985	Virginia Slims Championships (5)	New York City	Martina Navratilova	6–7(4), 6–4, 7–6(5)
April 14, 1985	Family Circle Cup (2)	Hilton Head, South Carolina , U.S.	Martina Navratilova	6–4, 6–1
April 28, 1985	Chrysler Tournament of Champions (2)	Orlando, Florida , U.S.	Martina Navratilova	6–3, 6–1
May 13, 1985	Australian Indoor	Sydney	Elizabeth Sayers Smylie	7–5, 7–5
May 20, 1985	Melbourne Indoors	Melbourne, Australia	Elizabeth Sayers Smylie	6–2, 5–7, 6–1
June 9, 1985	French Open (2)	Paris	Martina Navratilova	4–6, 6–2, 6–2
June 23, 1985	Eastbourne (4)	Eastbourne , United Kingdom	Martina Navratilova	7–5, 6–4
October 20, 1985	Porsche Tennis Grand Prix (2)	Filderstadt , West Germany	Hana Mandlíková	6–2, 6–1
November 17, 1985	National Panasonic Open (2)	Brisbane, Australia	Martina Navratilova	6–4, 6–7(6), 6–1
December 8, 1985	Australian Open (4)	Melbourne	Martina Navratilova	6–3, 6–4
January 11, 1986	Virginia Slims of Washington (2)	Washington, D.C.	Martina Navratilova	6–3, 6–4
January 20, 1986	Virginia Slims of New England (1)	Worcester, Massachusetts , U.S.	Martina Navratilova	6–3, 6–1
February 23, 1986	Virginia Slims of Florida	Key Biscayne, Florida , U.S.	Helena Suková	6–2, 6–3
March 30, 1986	Bridgestone Doubles Championship (3)	Nashville, Tennessee , U.S.	Barbara Potter	6–4, 6–3
June 21, 1986	Pilkington Glass Championships (5)	Eastbourne , United Kingdom	Martina Navratilova	6–2, 6–4
July 6, 1986	Wimbledon (5)	London	Martina Navratilova	6–1, 6–3
August 17, 1986	Virginia Slims of Los Angeles (2)	Los Angeles	Martina Navratilova	6–4, 6–3
September 7, 1986	US Open (3)	New York City	Martina Navratilova	6–4, 3–6, 6–3
October 19, 1986	Porsche Tennis Grand Prix (3)	Filderstadt , West Germany	Martina Navratilova	7–6(5), 6–4
November 10, 1986	Virginia Slims of New England (2)	Worcester, Massachusetts , U.S.	Martina Navratilova	7–5, 6–3
November 23, 1986	Virginia Slims Championships (6)	New York City	Martina Navratilova	7–6(1), 6–3
January 25, 1987	Australian Open (5)	Melbourne	Martina Navratilova	6–1, 6–0
March 8, 1987	Lipton International Players Championships	Key Biscayne, Florida , U.S.	Martina Navratilova	6–3, 7–6(6)
March 29, 1987	Virginia Slims of Washington (3)	Washington, D.C.	Elise Burgin	6–1, 3–6, 6–4
June 6, 1987	French Open (3)	Paris	Martina Navratilova	6–2, 6–1
August 16, 1987	Virginia Slims of Los Angeles (3)	Los Angeles	Martina Navratilova	6–3, 6–4
September 13, 1987	US Open (4)	New York City	Martina Navratilova	5–7, 6–4, 6–2
October 18, 1987	Porsche Tennis Grand Prix (4)	Filderstadt , West Germany	Martina Navratilova	6–1, 6–2
November 22, 1987	Virginia Slims Championships (7)	New York City	Martina Navratilova	6–1, 6–1
January 3, 1988	Ariadne Classic (3)	Brisbane, Australia	Betsy Nagelsen McCormack	2–6, 7–5, 6–2
January 24, 1988	Australian Open (6)	Melbourne	Martina Navratilova	6–0, 7–5
February 28, 1988	Virginia Slims of Washington (4)	Fairfax, Virginia , U.S.	Martina Navratilova	6–3, 6–4
May 1, 1988	Pan Pacific Open (1)	Tokyo	Helena Suková	4–6, 6–2, 7–6(5)
June 5, 1988	French Open (4)	Paris	Martina Navratilova	6–2, 7–5
October 2, 1988	Olympic Games	Seoul, South Korea	Zina Garrison	4–6, 6–2, 10–8
November 6, 1988	Virginia Slims of New England (3)	Worcester, Massachusetts , U.S.	Martina Navratilova	6–3, 3–6, 7–5
November 20, 1988	Virginia Slims Championships (8)	New York City	Martina Navratilova	6–3, 6–4
January 15, 1989	New South Wales Open (4)	Sydney	Martina Navratilova	6–3, 6–3
January 29, 1989	Australian Open (7)	Melbourne	Martina Navratilova	3–6, 6–3, 6–2
February 19, 1989	Virginia Slims of Washington (5)	Fairfax, Virginia , U.S.	Betsy Nagelsen McCormack	6–2, 6–3
March 5, 1989	U.S. Women's Hardcourt Championships (1)	San Antonio, Texas , U.S.	Katrina Adams	3–6, 6–1, 6–4
March 12, 1989	Virginia Slims of Indian Wells	Indian Wells, California , U.S.	Hana Mandlíková	6–3, 6–7(4), 6–3
August 20, 1989	United Jersey Bank Classic (2)	Mahwah, New Jersey , U.S.	Steffi Graf	6–2, 6–4
November 5, 1989	Virginia Slims of New England (4)	Worcester, Massachusetts , U.S.	Martina Navratilova	6–4, 4–6, 6–4
November 19, 1989	Virginia Slims Championships (9)	New York City	Martina Navratilova	6–3, 6–2
September 8, 1991	US Open (5)	New York City	Natasha Zvereva	6–4, 4–6, 7–6(5)
September 22, 1991	Nichirei International Championships	Tokyo	Mary Jo Fernandez	6–3, 6–3
October 27, 1991	Midland Bank Championships (3)	Brighton , United Kingdom	Natasha Zvereva	6–1, 6–2
November 24, 1991	Virginia Slims Championships (10)	New York City	Martina Navratilova	4–6, 7–5, 6–4
February 16, 1992	Virginia Slims of Chicago (4)	Chicago	Martina Navratilova	6–4, 7–6(7)
March 29, 1992	U.S. Women's Hardcourt Championships (2)	San Antonio, Texas , U.S.	Martina Navratilova	3–6, 6–2, 7–6(4)
January 17, 1993	Peters New South Wales Open (5)	Sydney	Elizabeth Sayers Smylie	7–6(4), 6–2
February 6, 1994	Toray Pan Pacific Open (2)	Tokyo	Elizabeth Sayers Smylie	6–3, 3–6, 7–6(3)
July 31, 1994	Acura U.S. Women's Hardcourt Championships (3)	Stratton Mountain, Vermont , U.S.	Elizabeth Sayers Smylie	7–6(4), 2–6, 7–5
