Week	Date	Opponent	Result	Attendance
1	September 7, 2003	at Detroit Lions	L 24-42	60,691
2	September 14, 2003	Seattle Seahawks	L 0-38	23,127
3	September 21, 2003	Green Bay Packers	W 20-13	58,784
4	September 28, 2003	at St. Louis Rams	L 13-37	65,758
5	October 5, 2003	at Dallas Cowboys	L 7-24	63,601
6	October 12, 2003	Baltimore Ravens	L 18-26	24,193
7	Bye	Bye	Bye	Bye
8	October 26, 2003	San Francisco 49ers	W 16-13	40,824
9	November 2, 2003	Cincinnati Bengals	W 17-14	23,531
10	November 9, 2003	at Pittsburgh Steelers	L 15-28	59,520
11	November 16, 2003	at Cleveland Browns	L 6-44	72,908
12	November 23, 2003	St. Louis Rams	L 27-30	42,089
13	November 30, 2003	at Chicago Bears	L 3-28	61,550
14	December 7, 2003	at San Francisco 49ers	L 14-50	66,975
15	December 14, 2003	Carolina Panthers	L 17-20	23,217
16	December 21, 2003	at Seattle Seahawks	L 10-28	64,899
17	December 28, 2003	Minnesota Vikings	W 18-17	52,734
