Week	Date	Opponent	Result	Kickoff [a ]	Game site	Attendance	Record
Week	Date	Opponent	Result	Kickoff [a ]	Game site	Attendance	Record
1	September 4, 1988	Philadelphia Eagles	L 41-14	1:00	Tampa Stadium	43,502	0-1
2	September 11, 1988	at Green Bay Packers	W 13-10	1:00	Lambeau Field	52,584	1-1
3	September 18, 1988	Phoenix Cardinals	L 30-24	1:00	Tampa Stadium	35,034	1-2
4	September 25, 1988	at New Orleans Saints	L 13-9	1:00	Louisiana Superdome	66,714	1-3
5	October 2, 1988	Green Bay Packers	W 27-24	1:00	Tampa Stadium	40,003	2-3
6	October 9, 1988	at Minnesota Vikings	L 14-13	1:00	Hubert H. Humphrey Metrodome	55,274	2-4
7	October 16, 1988	at Indianapolis Colts	L 35-31	1:00	Hoosier Dome	53,135	2-5
8	October 23, 1988	Minnesota Vikings	L 49-20	1:00	Tampa Stadium	48,020	2-6
9	October 30, 1988	Miami Dolphins	L 17-14	1:00	Tampa Stadium	67,352	2-7
10	November 6, 1988	at Chicago Bears	L 28-10	1:00	Soldier Field	56,892	2-8
11	November 13, 1988	at Detroit Lions	W 23-20	1:00	Pontiac Silverdome	25,956	3-8
12	November 20, 1988	Chicago Bears	L 27-15	1:00	Tampa Stadium	67,070	3-9
13	November 27, 1988	at Atlanta Falcons	L 17-10	1:00	Atlanta-Fulton County Stadium	14,020	3-10
14	December 4, 1988	Buffalo Bills	W 10-5	1:00	Tampa Stadium	49,498	4-10
15	December 11, 1988	at New England Patriots	L 10-7 OT	1:00	Sullivan Stadium	39,889	4-11
16	December 18, 1988	Detroit Lions	W 21-10	1:00	Tampa Stadium	37,778	5-11
