Time	Show Name	Local/Networked	Ad Freq	News Freq
5:00am–6:30am	Ross Kay For Breakfast	Local	15 Minutes	30 Minutes
6:30am–7:00am	Country Today	Networked	15 Minutes	30 Minutes
7:00am–8:30am	Ross Kay For Breakfast	Local	15 Minutes	30 Minutes
8:30am–12:00pm	Mornings with Neil Mitchell	Networked (from Melbourne)	20 Minutes	60 Minutes
12:00pm–1:00pm	Country Today	Networked	20 Minutes	60 Minutes
1:00pm–4:00pm	Afternoons	Local	20 Minutes	60 minutes
4:00pm–6:00pm	Drive	Networked (From Melbourne)	20 Minutes	60 minutes
6:00pm–8:00pm	Sports Today	Networked (From Melbourne)	20 Minutes	60 minutes
8:00pm–12:00am	Nightline	Networked	20 Minutes	60 minutes
12:00pm–5:00am	New Day Victoria	Networked	20 Minutes	60 minutes
