Season	League	Teams	Home	Away
1945-46	Oberliga Süd (I)	FC Bayern Munich - 1. FC Nuremberg	0-0	1-2
1946-47	Oberliga Süd	FC Bayern Munich - 1. FC Nuremberg	0-0	0-5
1947-48	Oberliga Süd	FC Bayern Munich - 1. FC Nuremberg	0-1	1-2
1948-49	Oberliga Süd	FC Bayern Munich - 1. FC Nuremberg	2-1	2-2
1949-50	Oberliga Süd	FC Bayern Munich - 1. FC Nuremberg	2-4	2-4
1950-51	Oberliga Süd	FC Bayern Munich - 1. FC Nuremberg	1-2	1-3
1951-52	Oberliga Süd	FC Bayern Munich - 1. FC Nuremberg	2-2	0-1
1952-53	Oberliga Süd	FC Bayern Munich - 1. FC Nuremberg	0-0	4-1
1953-54	Oberliga Süd	FC Bayern Munich - 1. FC Nuremberg	1-1	0-5
1954-55	Oberliga Süd	FC Bayern Munich - 1. FC Nuremberg	0-2	1-6
1956-57	Oberliga Süd	FC Bayern Munich - 1. FC Nuremberg	1-0	1-3
1957-58	Oberliga Süd	FC Bayern Munich - 1. FC Nuremberg	1-1	0-3
1958-59	Oberliga Süd	FC Bayern Munich - 1. FC Nuremberg	2-5	2-1
1959-60	Oberliga Süd	FC Bayern Munich - 1. FC Nuremberg	3-2	2-2
1960-61	Oberliga Süd	FC Bayern Munich - 1. FC Nuremberg	0-3	1-0
1961-62	Oberliga Süd	FC Bayern Munich - 1. FC Nuremberg	1-1	2-1
1962-63	Oberliga Süd	FC Bayern Munich - 1. FC Nuremberg	2-0	2-3
1965-66	Bundesliga (I)	FC Bayern Munich - 1. FC Nuremberg	0-0	2-2
1965-66	DFB-Pokal	1. FC Nuremberg - FC Bayern Munich	1-2 aet	1-2 aet
1966-67	Bundesliga	FC Bayern Munich - 1. FC Nuremberg	0-1	1-0
1967-68	Bundesliga	FC Bayern Munich - 1. FC Nuremberg	0-2	3-7
1967-68	DFB-Pokal	FC Bayern Munich - 1. FC Nuremberg	2-1	2-1
1968-69	Bundesliga	FC Bayern Munich - 1. FC Nuremberg	3-0	0-2
1968-69	DFB-Pokal	FC Bayern Munich - 1. FC Nuremberg	2-0	2-0
1969-70	DFB-Pokal	1. FC Nuremberg - FC Bayern Munich	2-1	2-1
1978-79	Bundesliga	FC Bayern Munich - 1. FC Nuremberg	4-0	2-4
1980-81	Bundesliga	FC Bayern Munich - 1. FC Nuremberg	4-2	1-0
1981-82	Bundesliga	FC Bayern Munich - 1. FC Nuremberg	1-1	3-0
1981-82	DFB-Pokal	FC Bayern Munich - 1. FC Nuremberg	4-2	4-2
1982-83	Bundesliga	FC Bayern Munich - 1. FC Nuremberg	1-0	3-2
1983-84	Bundesliga	FC Bayern Munich - 1. FC Nuremberg	4-2	4-2
1985-86	Bundesliga	FC Bayern Munich - 1. FC Nuremberg	2-1	1-0
1986-87	Bundesliga	FC Bayern Munich - 1. FC Nuremberg	4-0	2-1
1987-88	Bundesliga	FC Bayern Munich - 1. FC Nuremberg	1-0	3-0
1987-88	DFB-Pokal	FC Bayern Munich - 1. FC Nuremberg	3-1	3-1
1988-89	Bundesliga	FC Bayern Munich - 1. FC Nuremberg	1-0	1-2
1989-90	Bundesliga	FC Bayern Munich - 1. FC Nuremberg	3-2	0-4
1990-91	Bundesliga	FC Bayern Munich - 1. FC Nuremberg	1-0	1-0
1991-92	Bundesliga	FC Bayern Munich - 1. FC Nuremberg	1-3	1-1
1992-93	Bundesliga	FC Bayern Munich - 1. FC Nuremberg	1-0	0-0
1993-94	Bundesliga	FC Bayern Munich - 1. FC Nuremberg	5-0	0-2
1998-99	Bundesliga	FC Bayern Munich - 1. FC Nuremberg	2-0	0-2
2001-02	Bundesliga	FC Bayern Munich - 1. FC Nuremberg	0-0	2-1
2002-03	Bundesliga	FC Bayern Munich - 1. FC Nuremberg	2-0	2-1
2003-04	DFB-Pokal	1. FC Nuremberg - FC Bayern Munich	1-1 / 7-6 after pen.	1-1 / 7-6 after pen.
2004-05	Bundesliga	FC Bayern Munich - 1. FC Nuremberg	6-3	2-2
2005-06	Bundesliga	FC Bayern Munich - 1. FC Nuremberg	2-1	2-1
2006-07	Bundesliga	FC Bayern Munich - 1. FC Nuremberg	0-0	0-3
2007-08	Bundesliga	FC Bayern Munich - 1. FC Nuremberg	3-0	1-1
2008-09	DFB-Pokal	FC Bayern Munich - 1. FC Nuremberg	2-0	2-0
2009-10	Bundesliga	FC Bayern Munich - 1. FC Nuremberg	2-1	1-1
2010-11	Bundesliga	FC Bayern Munich - 1. FC Nuremberg	3-0	1-1
2011-12	Bundesliga	FC Bayern Munich - 1. FC Nuremberg	4-0	1-0
2012-13	Bundesliga	FC Bayern Munich - 1. FC Nuremberg	4-0	1-1
