City	Country	IATA	ICAO	Airport
Antalya	Turkey	AYT	LTAI	Antalya Airport
Bacău	Romania	BCM	LRBC	Bacău International Airport [hub]
Barcelona	Spain	BCN	LEBL	Barcelona Airport
Bologna	Italy	BLQ	LIPE	Bologna Guglielmo Marconi Airport
Brussels	Belgium	BRU	EBBR	Brussels Airport
Bucharest	Romania	OTP	LROP	Henri Coandă International Airport [hub]
Catania	Italy	CTA	LICC	Catania-Vincenzo Bellini Airport
Dublin	Ireland	DUB	EIDW	Dublin Airport
Larnaca	Cyprus	LCA	LCLK	Larnaca International Airport
London	United Kingdom	LTN	EGGW	London Luton Airport
Madrid	Spain	MAD	LEMD	Madrid-Barajas Airport
Málaga	Spain	AGP	LEMG	Málaga Airport
Milan	Italy	BGY	LIME	Bergamo-Orio al Serio Airport
Naples	Italy	NAP	LIRN	Naples Airport
Nice	France	NCE	LFMN	Nice Côte d'Azur Airport
Paris	France	BVA	LFOB	Beauvais-Tillé Airport
Rome	Italy	FCO	LIRF	Leonardo da Vinci-Fiumicino Airport
Sibiu	Romania	SBZ	LRSB	Sibiu International Airport [focus]
Stuttgart	Germany	STR	EDDS	Stuttgart Airport
Turin	Italy	CUF	LIMZ	Cuneo Levaldigi Airport
Valencia	Spain Spain	VLC	LEVC	Valencia Airport
Venice	Italy	VCE	LIPZ	Venice Marco Polo Airport
