Tournament	2007	2008	2009	2010	2011	2012
Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments
Australian Open	Q1	A	1R	A	1R	2R
French Open	Q3	2R	2R	2R	2R	2R
Wimbledon	Q2	A	1R	A	1R	1R
US Open	A	1R	A	A	1R	2R
Win–Loss	0–0	1–2	1–3	1–1	1–4	3–4
ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series
Indian Wells Masters	A	A	A	A	1R	4R
Miami Masters	A	A	A	A	3R	1R
Monte Carlo Masters	A	A	Q1	A	A	2R
Madrid Masters	A	Q1	Q2	A	1R	1R
Rome Masters	A	A	A	A	Q1	1R
Canada Masters	A	A	A	A	1R	2R
Cincinnati Masters	A	A	A	A	Q1	3R
Shanghai Masters	NMS	NMS	NMS	A	1R	1R
Paris Masters	A	A	A	A	A	1R
Win–Loss	0–0	0–0	0–0	0–0	2–5	7–9
Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics
Titles–Finals	0–0	0–0	0–0	0–1	1–2	1–0
Year End Ranking	146	101	160	71	46	42
