Date	Opponent	Score	Loss	Attendance	Record
September 1	Orioles	5 - 2	Ponson (7-10)	42,647	71-60
September 2	Orioles	8 - 6	Karsay (4-7)	42,736	71-61
September 3	Orioles	12 - 11 (13)	Trombley (4-5)	42,630	72-61
September 4	Devil Rays	5 - 1	Lopez (11-10)	42,628	73-61
September 5	Devil Rays	7 - 4	Fiore (1-1)	42,660	74-61
September 6	Devil Rays	6 - 2	Harper (0-1)	42,742	75-61
September 7	Devil Rays	4 - 3	Karsay (4-8)	42,709	75-62
September 8	White Sox	5 - 4	Woodard (1-3)	42,526	75-63
September 9	White Sox	9 - 3	Garland (3-6)	42,561	76-63
September 12	Red Sox	8 - 6	Finley (12-11)	42,714	76-64
September 13	Red Sox	10 - 3	Ohka (3-5)	42,667	77-64
September 14	Red Sox	7 - 4	Nagy (2-5)	42,709	77-65
September 15	@ Yankees	11 - 1	Cone (4-12)	48,443	78-65
September 16	@ Yankees	6 - 3	Bere (5-3)	55,097	78-66
September 17	@ Yankees	15 - 4	Neagle (7-5)	50,174	79-66
September 18	@ Yankees	2 - 0	Clemens (13-7)	31,317	80-66
September 19	@ Red Sox	7 - 4	Nagy (2-6)	32,512	80-67
September 20	@ Red Sox	2 - 1	Martínez (17-6)	33,002	81-67
September 20	@ Red Sox	5 - 4	Cormier (2-3)	32,751	82-67
September 21	@ Red Sox	9 - 8	Speier (4-2)	31,404	82-68
September 21	@ Red Sox	8 - 5	Wakefield (6-10)	32,743	83-68
September 22	@ Royals	3 - 2	Karsay (5-9)	15,036	83-69
September 23	@ Royals	11 - 1	Reichert (8-9)	20,253	84-69
September 24	@ Royals	9 - 0	Nagy (2-7)	12,606	84-70
September 25	White Sox	9 - 2	Garland (4-8)	42,500	85-70
September 25	Twins	4 - 3	Shuey (4-2)	42,853	85-71
September 26	Twins	4 - 2	Romero (2-7)	42,773	86-71
September 27	Twins	8 - 2	Radke (12-16)	42,864	87-71
September 28	Twins	4 - 3 (10)	Wickman (1-3)	42,821	87-72
September 29	Blue Jays	8 - 4	Trachsel (8-15)	42,768	88-72
September 30	Blue Jays	6 - 5	Loaiza (10-13)	42,676	89-72
