Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	Deportivo La Coruña	30	43	18	7	5	53	29	+24
2	Real Valladolid	30	41	17	7	6	48	27	+21
3	RC Celta de Vigo	30	36	15	6	9	57	33	+24
4	AD Rayo Vallecano	30	36	15	6	9	44	39	+5
5	Real Gijón CF	30	34	13	8	9	47	38	+9
6	Real Oviedo CF	30	32	12	8	10	43	29	+14
7	Club Ferrol	30	32	13	6	11	42	37	+5
8	Burgos CF	30	32	11	10	9	34	35	-1
9	CF Badalona	30	30	12	6	12	44	30	+14
10	UP Langreo	30	28	12	4	14	32	37	-5
11	Real Santander	30	27	11	5	14	39	38	+1
12	UD Lérida	30	24	8	8	14	25	51	-26
13	CD Badajoz	30	22	10	2	18	31	52	-21
14	CD Europa	30	21	8	5	17	32	56	-24
15	CA Osasuna	30	21	7	7	16	31	48	-17
16	Gimnástica Torrelavega	30	21	7	7	16	25	48	-23
