Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	Cultural Leonesa	30	40	18	4	8	68	38	+30
2	Real Oviedo	30	39	18	3	9	61	33	+28
3	Real Zaragoza	30	39	18	3	9	69	41	+28
4	Real Gijón CF	30	38	15	8	7	50	34	+16
5	CD Logroñés	30	36	15	6	9	52	43	+9
6	Baracaldo AH	30	33	15	3	12	47	42	+5
7	CP La Felguera	30	30	11	8	11	41	45	-4
8	SD Eibar	30	29	13	3	14	54	51	+3
9	CA Osasuna	30	29	12	5	13	56	57	-1
10	UD Lérida	30	27	10	7	13	41	56	-15
11	SD La España Industrial	30	26	9	8	13	46	45	+1
12	Club Ferrol	30	24	9	6	15	35	59	-24
13	Caudal Deportivo	30	24	8	8	14	49	59	-10
14	Club Sestao	30	23	8	7	15	45	56	-11
15	Real Avilés CF	30	23	10	3	17	50	60	-10
16	CD Juvenil	30	20	5	10	15	40	85	-45
