Date	Tournament	Surface	Partner	Opponents	Score
March 25, 2007	Canada F3, Rock Forest	Hard (i)	Érik Chvojka	Christophe Palmanshofer Jason Zimmermann	7–5, 6–3
October 12, 2008	Germany F22, Leimen	Hard (i)	Michal Navrátil	Nils Langer Frank Wintermantel	6–3, 6–4
November 9, 2008	Rimouski , Canada	Hard (i)	Milos Raonic	Kristian Pless Michael Ryderstedt	5–7, 6–4 [10–6]
November 23, 2008	Nicaragua F1, Managua	Hard	Jiří Krkoška	Alexandru Cojanu Deniss Pavlovs	7–6 (7–1) , 6–3
May 10, 2009	Mexico F4, Coatzacoalcos	Hard	Adil Shamasdin	Kaden Hensel Adam Hubble	6–3, 6–4
May 17, 2009	Mexico F5, Puerto Vallarta	Hard	Adil Shamasdin	Juan Manuel Elizondo César Ramírez	6–1, 2–6, [10–7]
July 19, 2009	USA F17, Peoria	Clay	Milos Raonic	Matt Reid Denis Zivkovic	6–3, 6–4
August 23, 2009	Romania F14, Arad	Clay	Marius Copil	Andrei Mlendea Jiří Školoudík	6–3, 6–4
September 20, 2009	Italy F28, Porto Torres	Hard	Marcus Willis	Alessandro Giannessi Francesco Piccari	4–6, 6–3, [10–8]
October 31, 2009	Mexico F12, Obregón	Hard	Nima Roshan	Adrien Bossel Julien Dubail	6–7, 6–3, [11–9]
November 29, 2009	Puebla , Mexico	Hard	Adil Shamasdin	Guillermo Olaso Pere Riba	7–6 (7–0) , 6–0
April 18, 2010	León , Mexico	Hard	Santiago González	Kaden Hensel Adam Hubble	3–6, 6–3, [10–8]
March 20, 2011	Rimouski , Canada	Hard (i)	Treat Conrad Huey	David Rice Sean Thornley	6–0, 6–1
March 28, 2011	USA F8, Oklahoma	Hard	Nicholas Monroe	Carsten Ball Chris Guccione	6–4, 6–3
April 4, 2011	Tallahassee , United States	Hard	Bobby Reynolds	Go Soeda James Ward	6–2, 6–4
June 26, 2011	Guadalajara , Mexico	Hard	Bobby Reynolds	Pierre-Ludovic Duclos Ivo Klec	6–4, 6–7 (6–8) , [10–6]
July 21, 2012	Granby , Canada	Hard	Philip Bester	Yuichi Ito Takuto Niki	6–1, 6–2
