Nationality	Position	Bolton Wanderers career	Apps	Total	Goals
Wales	FB	1888-1898	255	255	0 8
England	RB	1890-1901	293	293	0 2
Scotland	DF	1895-1901	136	136	14
Scotland	FW	1889–1898	219	219	101
Scotland	W	1895–1901	125	125	29
England	FB	1905–1921	388	388	4
England	FW	1908–1927	492	492	277
Wales	LW	1910–1931	512	512	70
Scotland	FW	1912–1921	146	146	0 6
Wales	MF	1912–1930	287	287	2
England	MF	1914–1922	117	117	14
England	CB	1919–1932	375	375	5
England	FW	1920–1928	324	324	161
England	RW	1920–1933	449	449	74
England	GK	1921–1931	336	336	0
England	FB	1921–1932	326	326	6
Scotland	FW	1922–1928	174	174	87
England	FB	1922–1937	530	530	2
Scotland	MF	1928–1935	262	262	40
England	DF	1930–1939	334	334	23
England	FW	1930–1947	333	333	144
England	DF	1931–1948	263	263	5
England	MF	1935–1949	169	169	19
England	FW	1935–1955	423	423	0
England	W	1936–1952	286	286	35
Wales	MF	1936–1950	171	171	19
England	DF	1937–1947	144	144	0
England	DF	1940–1954	118	118	0
Scotland	DF	1942–1952	154	154	1
Scotland	U	1943–1955	358	358	134
England	U	1944–1956	357	357	27
England	FW	1946–1960	503	503	285
England	RB	1947–1965	518	518	9
England	DF	1947–1961	255	255	2
England	RW	1949–1961	183	183	9
England	MF	1949–1953	132	132	18
England	DF	1950-1958	212	212	2
England	WH	1950–1962	463	463	44
England	FW	1950–1962	310	310	101
England	WH	1951–1956	205	205	18
England	DF	1951–1966	498	499	13
England	GK	1952–1970	578	578	0
England	FW	1952–1955	109	109	34
England	CB	1952–1961	202	202	0
England	MF	1953–1960	299	299	79
England	MF	1955–1964	191	191	28
England	DF	1955–1965	161	161	4
England	FW	1957–1969	410	412	79
England	DF	1958–1971	403	404	1
England	DF	1958–1975	521	528	17
England	FW	1959–1967	210	210	106
England	U	1961–1969	259	259	8
England	DF	1961–1969	121	126	3
Wales	FW	1962–1966	170	170	74
England	RW	1962–1970	281	286	46
England	DF	1962–1972	213	215	9
England	MF	1963–1968	183	184	26
England	U	1965–1980	567	575	85
England	MF	1965–1975	160	175	19
England	FW	1966–1976	340	351	130
England	RB	1966–1978	375	378	13
England	MF	1967–1971	116	117	12
England	MF	1967–1971	108	110	30
England	MF	1968–1975	236	247	55
England	DF	1969–1977	153	170	9
England	CB	1970–1983	502	506	43
England	DF	1970–1975	176	177	2
England	RB	1971–1982	352	370	14
England	GK	1972–1976	158	158	0
Ireland	LB	1973–1979	189	193	0
England	CB	1973–1980 1985-1986	226	231	24
England	LW	1973–1978	126	132	2
England	FW	1973–1981 1982-1983 1983-1984 1987-1988	322	338	121
England	MF	1974–1982	257	261	25
England	CB	1974–1981	192	201	5
Ireland	GK	1976–1980 1981-1983	274	274	1
Scotland	RW	1976–1980	177	179	12
England	LB	1977–1981 1990-1994	208	216	2
England	FW	1978–1982	163	165	31
England	MF	1979–1983	93	104	15
Northern Ireland	DF	1980–1985	125	127	2
England	GK	1981–1986	139	140	0
England	MF	1982–1991	416	422	57
England	DF	1982–1985	120	121	2
England	MF	1983–1987	216	221	21
England	MF	1983–1987 1993-2001	390	411	8
England	FW	1983–1987	166	177	78
England	DF	1984–1992	246	259	11
England	MF	1985–1987	101	101	10
England	MF	1986–1993	333	345	52
England	CB	1986–1994	279	285	6
Wales	GK	1987–1993	300	300	0
England	DF	1987–1993	127	165	15
England	RB	1988–1994	330	332	17
England	DF	1988–1992	157	160	6
England	FW	1989–1992	180	182	75
England	MF	1989–1993	142	173	42
England	CB	1990–1996	232	256	15
England	DF	1990–1997	221	286	31
England	DF	1990–1995	190	195	9
Ireland	MF	1992–1995	139	145	15
Scotland	FW	1992–1997	230	245	118
Ireland	GK	1992–2000	263	263	0
England	MF	1992–1997	164	199	20
England	MF	1993–1998	180	198	42
Iceland	CB	1995–2003	306	317	26
Wales	FW	1995–1998	118	124	48
England	LW	1995–1999	119	126	16
England	CB	1995–2000	84	107	2
Denmark	MF	1996–1999 2000-2004	277	304	36
Denmark	MF	1996–2000	140	170	21
Finland	GK	1997–2012	529	529	0
Jamaica	U	1998–2012	340	409	25
South Africa	CB	1997–2000	125	127	4
England	RB	1997–2001	85	103	7
England	FW	1997–2003	118	176	49
England	CB	1997–2003	149	163	2
England	U	1998–2003	89	106	0
Denmark	MF	1998–2000	108	109	10
England	MF	1999–2009	291	345	50
Denmark	MF	1999–2002	78	119	17
England	FW	2000–2003	68	112	46
England	RB	2000–2010	143	161	1
England	LB	2000–2004	120	134	0
England	RB	2000–2005	92	116	0
France	CB	2001–2006	164	172	7
Denmark	U	2001–2007	109	171	29
Nigeria	MF	2002–2006	123	145	18
Spain	U	2002–2008	166	194	14
England	FW	2003–2013	373	407	84
Greece	RW	2003–2008	118	177	28
Senegal	U	2003–2008	114	136	24
Wales	MF	2004–2008	130	139	14
Israel	DF	2004–2007	103	110	1
England	MF	2008–2011	114	137	23
England	DF	2008–2012	147	147	15
England	MF	2008–2012	136	147	4
Iceland	DF	2008–2012	133	139	6
Sweden	FW	2008–2011	89	108	22
England	DF	2009-	153	157	0 2
England	MF	2008-	88	130	0 13
South Korea	MF	2009–	95	123	0 14
Wales	DF	2009–2013	107	114	1
