Driver	Constructor	Laps	Time/Retired	Grid
Denny Hulme	McLaren - Ford	53	1:41:02.01	10
Niki Lauda	Ferrari	53	+ 9.27	8
Clay Regazzoni	Ferrari	53	+ 20.41	2
Mike Hailwood	McLaren - Ford	53	+ 31.79	9
Jean-Pierre Beltoise	BRM	53	+ 51.84	14
Patrick Depailler	Tyrrell - Ford	53	+ 1:52.48	15
Carlos Reutemann	Brabham - Ford	52	Out of Fuel	6
Howden Ganley	March - Ford	52	Out of Fuel	19
Henri Pescarolo	BRM	52	+ 1 Lap	21
Emerson Fittipaldi	McLaren - Ford	52	+ 1 Lap	3
Guy Edwards	Lola - Ford	51	+ 2 Laps	25
John Watson	Brabham - Ford	49	+ 4 Laps	20
Ronnie Peterson	Lotus - Ford	48	+ 5 Laps	1
Graham Hill	Lola - Ford	45	Engine	17
Jacky Ickx	Lotus - Ford	36	Clutch	7
Richard Robarts	Brabham - Ford	36	Gearbox	22
Hans Joachim Stuck	March - Ford	31	Clutch	23
François Migault	BRM	31	Water leak	24
Jody Scheckter	Tyrrell - Ford	25	Engine	12
Carlos Pace	Surtees - Ford	21	Suspension	11
Arturo Merzario	Iso Marlboro - Ford	19	Overheating	13
James Hunt	March - Ford	11	Overheating	5
Jochen Mass	Surtees - Ford	10	Engine	18
Peter Revson	Shadow - Ford	1	Accident	4
Jean-Pierre Jarier	Shadow - Ford	0	Accident	16
