Finish Position	Lengths Behind	Post Position	Horse name	Trainer	Jockey	Owner	Post Time Odds
1 st	0	7	Big Brown	Richard E. Dutrow, Jr.	Kent J. Desormeaux	IEAH Stables	1-5 favorite
2 nd	5 ¼	1	Macho Again	Dallas Stewart	Julien R. Leparoux	West Point Thoroughbreds	40-1
3 rd	5 ¾	3	Icabad Crane	H. Graham Motion	Jeremy Rose	Earle I. Mack	22-1
4 th	6 ½	6	Racecar Rhapsody	Kenneth G. McPeek	Robby Albarado	Carroll, Kaplan, Plattner & Guilfoyle	25-1
5 th	10 ¾	9	Stevil	Nicholas P. Zito	John R. Velazquez	Robert V LaPenta	41-1
6 th	14 ½	8	Kentucky Bear	Reade Baker	Jamie Theriot	Bear Stables Ltd.	14-1
7 th	15	13	Hey Byrn	Edward Plesa, Jr.	Charles C. Lopez	Beatrice Oxenberg	34-1
8 th	15 ¾	11	Giant Moon	Richard E. Schosberg	Ramon A. Dominguez	Albert Fried, Jr.	37-1
9 th	17 ½	2	Tres Borrachos	C. Beau Greely	Tyler Baze	B.Greeley & J.Houchens	43-1
10 th	18 ¾	4	Yankee Bravo	Patrick Gallagher	Alex O. Solis	Bienstock & Winner Stables	24-1
11 th	26	12	Gayego	Paulo Lobo	Mike E. Smith	Cubanacan Stables	9-1
12 th	26 ¼	10	Riley Tucker	William I. Mott	Edgar S. Prado	Zayat Stables	36-1
Scr	Scr	5	Behindatthebar	Todd Pletcher	David Flores	Padua Stables	Scr
