Season	Team	Country	League	Level	Apps	Goals
1998	Kairat	Kazakhstan	Premier League	1	2	0
1999	Kairat	Kazakhstan	Premier League	1	21	1
2000	Kairat	Kazakhstan	Premier League	1	19	3
2001	Kairat	Kazakhstan	Premier League	1	27	3
2002	Kairat	Kazakhstan	Premier League	1	29	2
2003	Kairat	Kazakhstan	Premier League	1	30	5
2004	Kairat	Kazakhstan	Premier League	1	26	3
2005	Kairat	Kazakhstan	Premier League	1	17	1
2006	Kairat	Kazakhstan	Premier League	1	15	0
2006-07	Akçaabat Sebatspor	Turkey	League A	2	16	5
2007-08	Kayseri Erciyesspor	Turkey	League A	2	15	1
2008-09	Kayseri Erciyesspor	Turkey	League A	2	28	1
2009-10	Kartalspor	Turkey	League A	2	20	0
2010-11	Diyarbakirspor	Turkey	League A	2	1	0
2012	Irtysh	Kazakhstan	Premier League	1	4	0
2012	Tobol	Kazakhstan	Premier League	1	2	0
