No.	#	Original airdate	Performer 1	Performer 2	Performer 3	Performer 4	U.S. viewers (millions)
220	1	July16,2013	Wayne Brady	Gary Anthony Williams	Colin Mochrie	Ryan Stiles	2.92
221	2	July16,2013	Wayne Brady	Heather Anne Campbell	Colin Mochrie	Ryan Stiles	2.99
222	3	July23,2013	Wayne Brady	Keegan-Michael Key	Colin Mochrie	Ryan Stiles	2.48
223	4	July30,2013	Wayne Brady	Jonathan Mangum	Colin Mochrie	Ryan Stiles	2.36
224	5	July30,2013	Wayne Brady	Jeff Davis	Colin Mochrie	Ryan Stiles	2.46
225	6	August6,2013	Wayne Brady	Gary Anthony Williams	Colin Mochrie	Ryan Stiles	2.25
226	7	August13,2013	Wayne Brady	Heather Anne Campbell	Colin Mochrie	Ryan Stiles	2.15
227	8	August20,2013	Wayne Brady	Keegan-Michael Key	Colin Mochrie	Ryan Stiles	2.28
228	9	August27,2013	Wayne Brady	Jeff Davis	Colin Mochrie	Ryan Stiles	2.28
229	10	September3,2013	Wayne Brady	Nyima Funk	Colin Mochrie	Ryan Stiles	2.48
230	11	September17,2013	Wayne Brady	Jonathan Mangum	Colin Mochrie	Ryan Stiles	2.43
