#	Episode	Air date Canada yyyy/mm/dd	Viewers Canada	Air date Netherlands yyyy/mm/dd	Viewers Netherlands
1	"Being Dr. Tom"	2009/09/22	550000	2009/11/03	283000
2	"Battle Royale"	2009/09/29	755000	2009/11/10	282000
3	"Mama Mia"	2009/10/06	462000	2009/11/17	234000
4	"Cultural Revolution"	2009/10/13	468000	2009/11/24	290000
5	"Yes We Can"	2009/10/20	613000	2009/12/01	263000
6	"Shhh… Don't Tell"	2009/10/27	716000	2009/12/08	297000
7	"The Unkindest Cut"	2009/11/03	518000	2009/12/15	234000
8	"Under My Thumb"	2009/11/10	508000	2009/12/22	173000
9	"A River Runs Through It...It Being Egypt"	2009/11/17	604000	2009/12/29	167000
10	"Papa Can You Hear Me?"	2009/11/24	589000	2010/01/12	205000
11	"What Goes Up Must Come Down"	2009/12/01	673000	2010/01/19	272000
