Date	Opponent	Venue	Result	Attendance
17 September 1986	Lens	A	0–1	11,330
1 October 1986	Lens	H	2–0	11,645
22 October 1986	Universitatea Craiova	H	3–0	10,728
5 November 1986	Universitatea Craiova	A	0–1	35,000
26 November 1986	Hajduk Split	H	2–0	11,569
10 December 1986	Hajduk Split	A	0–0	26,000
4 March 1987	Barcelona	H	1–0	21,322
18 March 1987	Barcelona	A	2–1	42,000
8 April 1987	Mönchengladbach	H	0–0	15,789
22 April 1987	Mönchengladbach	A	2–0	33,500
6 May 1987	Gothenburg	A	0–1	50,053
20 May 1987	Gothenburg	H	1–1	20,911
