Airing date	English title (Chinese title)	Number of episodes	HD format	Highest average point ratings	Genre	Official website
24 Dec 2007- 18 Jan 2008	Survivor's Law II 律政新人王II	20	No	31	Modern drama	Official website
21 Jan- 15 Feb	The Gentle Crackdown II 秀才愛上兵	20	No	32	Costume comedy	Official website
18 Feb- 15 Mar	The Seventh Day 最美麗的第七天	20	No	34	Modern romance	Official website
17 Mar- 18 Apr	D.I.E. 古靈精探	25	No	37	Modern action	Official website
21 Apr- 16 May	Catch Me Now 原來愛上賊	20	Yes	33	Modern action	Official website
19 May- 27 Jun	Forensic Heroes II 法證先鋒II	30	No	34	Modern suspense	Official website
30 Jun- 25 Jul	Love Exchange 疑情別戀	20	Yes	32	Modern thriller	Official website
28 Jul- 21 Sep	Moonlight Resonance 溏心風暴之家好月圓	40	Yes	47	Modern drama	Official website
22 Sep- 18 Oct	Last One Standing 與敵同行	21	Yes	31	Modern suspense	Official website
20 Oct 2008- 13 Feb 2009	The Gem of Life 珠光寶氣	82	Yes	32	Modern drama	Official website
