School Year	Class A	Class AA	Class AAA	Class AAAA	Class AAAAA
1988-89	Plains	Shallowater	Quitman	Wichita Falls Hirschi	McAllen
1989-90	Plains	Shallowater	Orangefield	Wichita Falls Hirschi	Mission
1990-91	San Isidro	Quanah	Austin Lake Travis	Azle	Lubbock
1991-92	Sterling City	Shallowater	Devine	Wichita Falls	McAllen
1992-93	Sterling City	Little Elm	Crane	Wichita Falls	Lubbock
1993-94	Plains	Little Elm	Bridgeport	Buda Hays Consolidated	Alvin
1994-95	Henrietta Midway	Salado	Bridgeport	Azle	Sugar Land Elkins
1995-96	Rule	Salado	Shallowater	Longview Pine Tree	Mission
1996-97	Henrietta Midway	Shallowater	Bridgeport	Longview Pine Tree	Spring Westfield
1997-98	Henrietta Midway	Plains	Santa Rosa	Longview Pine Tree	Mission
1998-99	Henrietta Midway	Salado	Santa Rosa	Sulphur Springs	Klein
1999-2000	Valley View	Salado	Bridgeport	Azle	Klein
2000-01	Muenster	Salado	Bridgeport	Corpus Christi Flour Bluff	Edinburg North
2001-02	Muenster	Salado	Bridgeport	Corpus Christi Flour Bluff	Edinburg North
2002-03	Muenster	Salado	Bridgeport	Azle	Edinburg North
2003-04	Lindsay	Salado	Bridgeport	Medina Valley	Pearland
2004-05	Lindsay	Argyle	Bridgeport	Medina Valley	La Joya
2005-06	Garden City	Argyle	Bridgeport	Medina Valley	Klein
2006-07	Lindsay	Wichita Falls City View	Longview Spring Hill	Corpus Christi Flour Bluff	San Antonio O'Connor
