Incident No.	Date	Place	Killed	Injured
1	31 January	Dantewada, Chhattisgarh	0	0
2	4 March	Jharkhand	1	0
2	5 March	Andhra Pradesh	1	0
2	15 March	Bijapur, Chhattisgarh	55	12
3	26 March	Dantewada, Chhattisgarh	0	0
4	6 April	Bokaro, Jharkhand	6	0
5	21 April	Jamui, Bihar	0	0
6	22 April	Gaya, Bihar	0	0
7	29 April	Sheohar, Bihar	0	0
8	9 May	Khagaria, Bihar	1	1
9	24 May	Kanker, Chhattisgarh	1	0
1	9 May	East Godavari, Andhra Pradesh	0	1
1	9 May	Munger, Bihar	2	1
1	1 May	Giridih, Jharkhand	2	6
1	4 June	Bijapur, Chhattisgarh	0	0
14	30 June	Rohtas, Bihar	13	8
15	1 July	East Champaran, Bihar	2	1
16	13 July	Malkangiri, Odisha	0	0
17	6 August	Gumla, Jharkhand	0	0
18	8 August	Gadchiroli, Maharashtra	0	3
19	19 August	Saran, Bihar	3	0
20	26 August	Dantewada, Chhattisgarh	4	7
21	29 August	Dantewada, Chhattisgarh	12	0
22	30 September	Gaya, Bihar	0	0
23	9 October	Dantewada, Chhattisgarh	1	0
24	14 October	Gadchiroli, Maharashtra	2	0
25	20 October	Bijapur, Chhattisgarh	0	0
26	21 October	Gadchiroli, Maharashtra	2	5
27	26 October	Narayanpur, Chhattisgarh	0	0
28	29 October	Bijapur, Chhattisgarh	5	3
30	2 November	Bijapur, Chhattisgarh	16	5
31	4 November	Gaya, Bihar	0	0
32	7 November	Simdega, Jharkhand	1	0
33	19 November	Bijapur, Chhattisgarh	2	0
34	21 November	Kanker, Chhattisgarh	1	0
35	23 November	Bastar, Chhattisgarh	0	0
36	2 December	Dantewada, Chhattisgarh	0	0
37	10 December	Vaishali, Bihar	4	0
38	17 December	Gaya, Bihar	0	11
39	18 December	Bastar, Chhattisgarh	0	0
40	18 December	Bijapur, Chhattisgarh	0	0
41	23 December	Dantewada, Chhattisgarh	0	0
42	28 December	Bijapur, Chhattisgarh	0	0
43	31 December	Giridih, Jharkhand	0	0
Total	Total	Total	64	36
